UIN,acd_institute_name,acd_institute_type,acd_department,acd_position,acd_city,acd_state,acd_country,acd_postal_code,acd_tenure_from_date,acd_tenure_to_date,acd_association_type,acd_source_url1,acd_source_url2,acd_source_url3,acd_processed_timestamp,acd_inserted_timestamp,acd_updated_timestamp,acd_processed_date,acd_inserted_date,acd_updated_date,acd_delete_flag_timestamp,acd_processed_date timestamp,acd_inserted_date timestamp,,,,
AP002739,"Kalinga Institute of Medical Sciences, Bhubaneswar",Academic,,Assistant Professor,Bhubaneswar,Odisha,India,751024,2014,2015,National,https://www.practo.com/guntur/doctor/k-subbarao-endocrinologist,,,14:24,14:24,,17/04/2025,17/04/2025,,,17/04/2025 14:24,17/04/2025 14:24,,,,#VALUE!
AP002739,"Konaseema Institute of Medical Sciences & Research Foundation, Amalapuram",Academic,,Assistant Professor,Amalapuram,Andhra Pradesh,India,533201,2014,2015,National,https://www.practo.com/guntur/doctor/k-subbarao-endocrinologist,,,14:24,14:24,,17/04/2025,17/04/2025,,,17/04/2025 14:24,17/04/2025 14:24,,,,
AP010567,NRI General Hospital,Hospital,Department of Endocrinology,Assistant Professor,Chinakakani,Andhra Pradesh,India,533201,2011,2014,National,https://sedh-drjaidev.com/about-the-doctor/,,,18:29,18:29,,12/06/2025,12/06/2025,,,12/06/2025 18:29,12/06/2025 18:29,,,,
AP010567,NRI General Hospital,Hospital,,Consultant Endocrinologist,Chinakakani,Andhra Pradesh,India,533201,2011,2014,National,https://sedh-drjaidev.com/about-the-doctor/,,,18:29,18:29,,12/06/2025,12/06/2025,,,12/06/2025 18:29,12/06/2025 18:29,,,,
AP010567,Royal Preston Hospital,Hospital,"Acute Medicine, Diabetes and Endocrinology",Consultant Physician,Preston,,United Kingdom,PR0 2AF,2008,2001,International,https://sedh-drjaidev.com/about-the-doctor/,,,18:29,18:29,,12/06/2025,12/06/2025,,,12/06/2025 18:29,12/06/2025 18:29,,,,
AP010567,North Manchester General Hospital,Hospital,"Diabetes & Endocrinology, General Medicine",Specialist Registrar,Manchester,,United Kingdom,M8 5RB,2004,2008,International,https://sedh-drjaidev.com/about-the-doctor/,,,18:29,18:29,,12/06/2025,12/06/2025,,,12/06/2025 18:29,12/06/2025 18:29,,,,
AP010567,Royal Preston Hospital,Hospital,"Diabetes & Endocrinology, General Medicine",Specialist Registrar,Preston,,United Kingdom,PR0 2AF,2004,2008,International,https://sedh-drjaidev.com/about-the-doctor/,,,18:29,18:29,,12/06/2025,12/06/2025,,,12/06/2025 18:29,12/06/2025 18:29,,,,
AP010567,Pinnamaneni Siddhartha Institute of Medical Sciences & Research Foundation,Academic,Department of Medicine,Assistant Professor,Gannavaram,Andhra Pradesh,India,533201,,2017,National,https://sedh-drjaidev.com/about-the-doctor/,,,18:29,18:29,,12/06/2025,12/06/2025,,,12/06/2025 18:29,12/06/2025 18:29,,,,
AP019740,Osmania General Hospital,Hospital,Department of Internal Medicine,Associate Professor,Hyderabad,Telangana,India,500012,2018,2019,National,https://www.practo.com/hyderabad/doctor/mohammed-anfas-general-physician,,,17:36,17:36,,15/04/2025,15/04/2025,,,15/04/2025 17:36,15/04/2025 17:36,,,,
AP021309,Apollo Medical College,Academic,,Assistant Professor,Hyderabad,Telangana,India,500096,2014,2014,National,https://www.practo.com/visakhapatnam/doctor/dr-ravi-46-general-physician,,,10:13,10:13,,26/04/2025,26/04/2025,,,26/04/2025 10:13,26/04/2025 10:13,,,,
AP022585,Dr. Mohans Diabetes Specialities Center,Hospital,,Consultant Diabetologist,Chennai,Tamil Nadu,India,600003,,,National,https://vgrdiabetes.in/about-us,,,18:12,18:12,,13/06/2025,13/06/2025,,,13/06/2025 18:12,13/06/2025 18:12,,,,
AP022712,Narayana Medical College,Academic,Department of General Medicine,Assistant Professor,Nellore,Andhra Pradesh,India,524003,2010,2012,National,https://www.practo.com/nellore/doctor/mv-rama-mohan-endocrinologist,,,18:22,18:22,,16/04/2025,16/04/2025,,,16/04/2025 18:22,16/04/2025 18:22,,,,
AP022712,"Narayana Medical College, Nellore",Academic,Department of General Medicine,Assistant Professor,Nellore,Andhra Pradesh,India,524003,2010,2012,National,https://www.linkedin.com/in/mvramamohan/details/experience/,,,18:22:23,18:22:23,,13/06/2025,13/06/2025,,,13/06/2025 18:22,13/06/2025 18:22,,,,
AP026268,Kurnool Medical College,Hospital,Department of Cardiology,Assistant Professor,Kurnool,Andhra Pradesh,India,518002,,,National,https://kurnoolmedicalcollege.ac.in/facultydetails.php?name=Cardiology,,,9:11:06,9:11:06,,10/06/2025,10/06/2025,,,10/06/2025 9:11,10/06/2025 9:11,,,,
AP032915,Kurnool Medical College,Academic,,Assistant Professor,Kurnool,Andhra Pradesh,India,518002,,,National,https://www.linkedin.com/in/dr-rajkumar-md-general-medicine-dm-cardiology-02091812/,,,18:47:49,18:47:49,,12/06/2025,12/06/2025,,,12/06/2025 18:47,12/06/2025 18:47,,,,
AS002231,Jorhat Medical College & Hospital,Hospital,,Assistant Professor,Jorhat,Assam,India,785001,,,National,https://www.medsynapse.app/doctors/dr-hiteswar-saikia-68692,,,12:49,12:49,,14/06/2025,14/06/2025,,,14/06/2025 12:49,14/06/2025 12:49,,,,
AS006621,Fakhruddin Ali Ahmed Medical College & Hospital,Hospital,,Associate Professor,Jaher Pam,Assam,India,781301,,,National,https://faamch.assam.gov.in/department-highlights-level-three/medicine/department/college,,,18:52,18:52,,12/06/2025,12/06/2025,,,12/06/2025 18:52,12/06/2025 18:52,,,,
AS019061,Jorhat Medical College,Hospital,,Associate Professor,Jorhat,Assam,India,785001,,,National,https://jorhatmedicalcollege.in/jmch/images/faculty_data/Faculty_Info_Cardio1.pdf,,,12:22,12:22,,14/06/2025,14/06/2025,,,14/06/2025 12:22,14/06/2025 12:22,,,,
BR006167,Jawahar Lal Nehru Medical College,Hospital,Department of Medicine,Associate Professor,Bhagalpur,Bihar,India,812001,,,National,https://curofy.com/doctor/dr-maya-nand-jha-general-practice-drmayanandjha,,,9:26,9:26,,10/06/2025,10/06/2025,,,10/06/2025 9:26,10/06/2025 9:26,,,,
BR006201,"Pravara Institute of Medical Sciences, Loni",Academic,Department of Cardiology,Assistant Professor,Loni,Maharashtra,India,413736,2007,2009,National,https://www.linkedin.com/in/kknursinghome/?originalSubdomain=in,,,17:17,17:17,,11/06/2025,11/06/2025,,,11/06/2025 17:17,11/06/2025 17:17,,,,
BR021468,All India Institute of Medical Sciences,Academic,Department of Pulmonary Medicine,Ex-Consultant Physician,New Delhi,Delhi,India,110029,,,National,https://drabhishekranjan.in/,,,9:50,9:50,,10/06/2025,10/06/2025,,,10/06/2025 9:50,10/06/2025 9:50,,,,
BR022056,Patna Medical College,Academic,,Associate Professor,Patna,Bihar,India,800001,2024,2025,National,https://www.linkedin.com/in/sunil-kumar-00079721/?,,,18:38,18:38,,12/06/2025,12/06/2025,,,12/06/2025 18:38,12/06/2025 18:38,,,,
BR022056,Patna Medical College,Academic,,Assistant Professor,Patna,Bihar,India,800001,2020,2025,National,https://www.linkedin.com/in/sunil-kumar-00079721/?,,,18:38,18:38,,12/06/2025,12/06/2025,,,12/06/2025 18:38,12/06/2025 18:38,,,,
BR022056,Patna Medical College,Academic,,Senior Resident,Patna,Bihar,India,800001,2011,2025,National,https://www.linkedin.com/in/sunil-kumar-00079721/?,,,18:38,18:38,,12/06/2025,12/06/2025,,,12/06/2025 18:38,12/06/2025 18:38,,,,
BR022056,Darbhanga Medical College,Academic,,Senior Resident,Darbhanga,Bihar,India,846003,2006,2008,National,https://www.linkedin.com/in/sunil-kumar-00079721/?,,,18:38:51,18:38:51,,12/06/2025,12/06/2025,,,12/06/2025 18:38,12/06/2025 18:38,,,,
BR024233,Nalanda Medical College,Academic,,Assistant Professor,Patna,Bihar,India,800026,,,National,https://www.linkedin.com/in/dr-vinit-kumar-a883b3117/?originalSubdomain=in,,,18:56:19,18:56:19,,13/06/2025,13/06/2025,,,13/06/2025 18:56,13/06/2025 18:56,,,,
CG004628,Jawaharlal Nehru Memorial Medical College & Dr. B.R. Ambedkar Memorial Hospital,Hospital,Department of Medicine,Associate Professor,Raipur,Chhattisgarh,India,492001,,,National,https://sanjeevani-lifebeyondcancer.com/faculty-speaks/dr-rohini-patel,,,17:07:23,17:07:23,,11/06/2025,11/06/2025,,,11/06/2025 17:07,11/06/2025 17:07,,,,
CG004788,Fortis O.P. Jindal Hospital & Research Center,Hospital,,Medical Director,Raigarh,Chhattisgarh,India,496001,,,National,https://drajayguptaraigarhclinic.com/about-us/,,,18:41,18:41,,12/06/2025,12/06/2025,,,12/06/2025 18:41,12/06/2025 18:41,,,,
CG004788,Fortis O.P. Jindal Hospital & Research Center,Hospital,,Senior Consultant Physician,Raigarh,Chhattisgarh,India,496001,,,National,https://drajayguptaraigarhclinic.com/about-us/,,,18:41,18:41,,12/06/2025,12/06/2025,,,12/06/2025 18:41,12/06/2025 18:41,,,,
DL005523,Hamdard Institute of Medical Sciences & Research,Hospital,,Professor,New Delhi,New Delhi,India,110062,,,National,https://www.himsr.co.in/doctor-profile/dr-vineet-jain/,,,17:55,17:55,,11/06/2025,11/06/2025,,,11/06/2025 17:55,11/06/2025 17:55,,,,
DL006045,Public Health Foundation of India,Academic,Certificate Course in Evidence Based Diabetes Management,Teaching Faculty,New Delhi,Delhi ,India,110030,2010,2014,National,https://www.practo.com/delhi/doctor/dr-r-k-marya-general-physician,,,18:30,18:30,,12/06/2025,12/06/2025,,,12/06/2025 18:30,12/06/2025 18:30,,,,
