Client Doctor Code,Campaign Start Date (Month Year),HCP Email Open Rate,HCP WhatsApp Read Rate,HCP Email Click Rate,HCP WhatsApp Click Rate,HCP Call Productive Rate,Last Call Connected Date (Selected Month),Average Duration Connected Calls
AP000091,2025-04-01,,85.71%,,,,,
AP000127,2025-04-01,83.30%,,,,,,
AP000187,2025-04-01,,100.00%,,,,,
AP000200,2025-04-01,83.30%,100.00%,,28.57%,,,
AP000453,2025-04-01,50.00%,,,,,,
AP000476,2025-04-01,83.30%,,,,,,
AP000512,2025-04-01,,25.00%,,,,,
AP000514,2025-04-01,83.30%,100.00%,,,,,
AP000542,2025-04-01,,100.00%,,,,,
AP000593,2025-04-01,50.00%,,,,,,
AP000639,2025-04-01,,100.00%,,,,,
AP000680,2025-04-01,83.30%,,,,,,
AP000688,2025-04-01,,85.71%,,,,,
AP0007932,2025-04-01,66.70%,42.86%,,,,,
AP001274,2025-04-01,83.30%,,,,,,
AP001470,2025-04-01,66.70%,,,,,,
AP001544,2025-04-01,,100.00%,,,,,
AP001559,2025-04-01,83.30%,,,,,,
AP001678,2025-04-01,66.70%,,,,,,
AP001718,2025-04-01,,100.00%,,,,,
AP001739,2025-04-01,,80.00%,,,,,
AP001826,2025-04-01,,83.33%,,,,,
AP001862,2025-04-01,16.70%,100.00%,,,,,
AP002226,2025-04-01,,100.00%,,,,,
AP002420,2025-04-01,,100.00%,,,,,
AP002489,2025-04-01,66.70%,,,,,,
AP002739,2025-04-01,50.00%,85.71%,,,,,
AP002810,2025-04-01,100.00%,,,,,,
AP003065,2025-04-01,66.70%,100.00%,,,,,
AP003153,2025-04-01,,60.00%,,20.00%,,,
AP003229,2025-04-01,16.70%,25.00%,,,,,
AP003245,2025-04-01,,100.00%,,,,,
AP003605,2025-04-01,33.30%,20.00%,,,,,
AP003635,2025-04-01,33.30%,,,,,,
AP003701,2025-04-01,66.70%,85.71%,,,,,
AP004007,2025-04-01,100.00%,42.86%,,,,,
AP004138,2025-04-01,83.30%,,,,,,
AP004267,2025-04-01,,14.29%,,,,,
AP004281,2025-04-01,,85.71%,,,,,
AP004299,2025-04-01,66.70%,,,,,,
AP004355,2025-04-01,,100.00%,,,,,
AP004359,2025-04-01,83.30%,,,,,,
AP004361,2025-04-01,66.70%,60.00%,,,,,
AP004362,2025-04-01,100.00%,,,,,,
AP004404,2025-04-01,83.30%,,,,,,
AP004411,2025-04-01,83.30%,100.00%,,,,,
AP004500,2025-04-01,100.00%,,,,,,
AP004520,2025-04-01,83.30%,40.00%,,,,,
AP004525,2025-04-01,50.00%,100.00%,,,,,
AP004540,2025-04-01,66.70%,100.00%,,,,,
AP004745,2025-04-01,66.70%,100.00%,,,,,
AP004746,2025-04-01,,100.00%,,,,,
AP004763,2025-04-01,,100.00%,,,,,
AP004787,2025-04-01,66.70%,,,,,,
AP004788,2025-04-01,,100.00%,,,,,
AP004791,2025-04-01,,100.00%,,,,,
AP005003,2025-04-01,,100.00%,,,,,
AP005043,2025-04-01,66.70%,33.33%,,,,,
AP005067,2025-04-01,83.30%,33.33%,,,,,
AP005099,2025-04-01,,33.33%,,,,,
AP005102,2025-04-01,83.30%,100.00%,,,,,
AP005131,2025-04-01,66.70%,100.00%,,,,,
AP005133,2025-04-01,83.30%,100.00%,,,,,
AP005147,2025-04-01,66.70%,100.00%,,,,,
AP005232,2025-04-01,75.00%,,,,,,
AP005234,2025-04-01,,83.33%,,,,,
AP005256,2025-04-01,83.30%,,,,,,
AP005261,2025-04-01,,100.00%,,,,,
AP005273,2025-04-01,100.00%,100.00%,,,,,
AP005275,2025-04-01,50.00%,,,,,,
AP005279,2025-04-01,83.30%,100.00%,,,,,
AP005440,2025-04-01,66.70%,20.00%,,,,,
AP005466,2025-04-01,,100.00%,,,,,
AP005518,2025-04-01,100.00%,,,,,,
AP005613,2025-04-01,16.70%,,,,,,
AP005649,2025-04-01,,83.33%,,,,,
AP005688,2025-04-01,,100.00%,,,,,
AP005759,2025-04-01,83.30%,,,,,,
AP005767,2025-04-01,66.70%,20.00%,,,,,
AP005770,2025-04-01,,100.00%,,,,,
AP005809,2025-04-01,66.70%,100.00%,,,,,
AP005850,2025-04-01,83.30%,100.00%,,,,,
AP005985,2025-04-01,83.30%,20.00%,,,,,
AP005990,2025-04-01,,83.33%,,,,,
AP005997,2025-04-01,,83.33%,,,,,
AP006003,2025-04-01,,100.00%,,,,,
AP006079,2025-04-01,,100.00%,,,,,
AP006102,2025-04-01,,100.00%,,,,,
AP006268,2025-04-01,83.30%,50.00%,,,,,
AP006310,2025-04-01,,100.00%,,,,,
AP006314,2025-04-01,,100.00%,,,,,
AP006364,2025-04-01,,100.00%,,,,,
AP006704,2025-04-01,,100.00%,,,,,
AP006758,2025-04-01,83.30%,28.57%,,,,,
AP007430,2025-04-01,83.30%,,,,,,
AP007463,2025-04-01,,100.00%,,,,,
AP007468,2025-04-01,83.30%,100.00%,,,,,
AP008362,2025-04-01,100.00%,100.00%,,,,,
AP008611,2025-04-01,,100.00%,,,,,
AP009557,2025-04-01,83.30%,100.00%,,,,,
AP010043,2025-04-01,,100.00%,,,,,
AP010080,2025-04-01,66.70%,100.00%,,,,,
AP010147,2025-04-01,,100.00%,,,,,
AP010173,2025-04-01,,40.00%,,,,,
AP010208,2025-04-01,,100.00%,,,,,
AP010450,2025-04-01,,20.00%,,,,,
AP011013,2025-04-01,83.30%,100.00%,,,,,
AP011050,2025-04-01,,100.00%,,,,,
AP011082,2025-04-01,,100.00%,,,,,
AP011172,2025-04-01,66.70%,100.00%,,,,,
AP011237,2025-04-01,100.00%,,,,,,
AP011264,2025-04-01,33.30%,,,,,,
AP011293,2025-04-01,83.30%,100.00%,,,,,
AP011643,2025-04-01,66.70%,100.00%,,,,,
AP011783,2025-04-01,,83.33%,,,,,
AP011792,2025-04-01,66.70%,,,,,,
AP011794,2025-04-01,83.30%,50.00%,,,,,
AP011813,2025-04-01,83.30%,57.14%,,,,,
AP011832,2025-04-01,,57.14%,,,,,
AP011911,2025-04-01,50.00%,100.00%,,,,,
AP012011,2025-04-01,83.30%,,,,,,
AP012044,2025-04-01,83.30%,,,,,,
AP012054,2025-04-01,,100.00%,,,,,
AP012147,2025-04-01,100.00%,50.00%,,,,,
AP012158,2025-04-01,83.30%,50.00%,,,,,
AP012164,2025-04-01,,28.57%,,,,,
AP012303,2025-04-01,16.70%,100.00%,,,,,
AP012358,2025-04-01,83.30%,100.00%,,,,,
AP012380,2025-04-01,100.00%,100.00%,,,,,
AP012381,2025-04-01,,50.00%,,,,,
AP012519,2025-04-01,83.30%,,,,,,
AP012582,2025-04-01,,100.00%,,,,,
AP012627,2025-04-01,83.30%,,,,,,
AP012843,2025-04-01,66.70%,100.00%,,,,,
AP012913,2025-04-01,,100.00%,,,,,
AP012978,2025-04-01,83.30%,85.71%,,,,,
AP013020,2025-04-01,,100.00%,,,,,
AP013023,2025-04-01,,71.43%,,,,,
AP013038,2025-04-01,,83.33%,,,,,
AP013045,2025-04-01,,100.00%,,,,,
AP013057,2025-04-01,66.70%,,,,,,
AP013064,2025-04-01,,100.00%,,,,,
AP013110,2025-04-01,,100.00%,,,,,
AP013123,2025-04-01,100.00%,100.00%,,,,,
AP013125,2025-04-01,83.30%,100.00%,,,,,
AP013136,2025-04-01,,57.14%,,,,,
AP013176,2025-04-01,100.00%,,,,,,
AP013194,2025-04-01,,100.00%,,,,,
AP013204,2025-04-01,66.70%,,,,,,
AP013227,2025-04-01,83.30%,100.00%,,,,,
AP013324,2025-04-01,,100.00%,,,,,
AP013347,2025-04-01,100.00%,100.00%,,,,,
AP013350,2025-04-01,,40.00%,,,,,
AP013358,2025-04-01,66.70%,100.00%,,,,,
AP013365,2025-04-01,,100.00%,,,,,
AP013370,2025-04-01,33.30%,,,,,,
AP013371,2025-04-01,83.30%,40.00%,,,,,
AP013378,2025-04-01,16.70%,100.00%,,,,,
AP013435,2025-04-01,83.30%,80.00%,,,,,
AP013453,2025-04-01,,71.43%,,,,,
AP013454,2025-04-01,,100.00%,,,,,
AP013562,2025-04-01,66.70%,100.00%,,,,,
AP013570,2025-04-01,16.70%,,,,,,
AP013596,2025-04-01,100.00%,,,,,,
AP013720,2025-04-01,83.30%,100.00%,,,,,
AP013742,2025-04-01,,16.67%,,,,,
AP013760,2025-04-01,66.70%,100.00%,,,,,
AP013867,2025-04-01,,100.00%,,,,,
AP013958,2025-04-01,,57.14%,,,,,
AP014340,2025-04-01,,66.67%,,,,,
AP014657,2025-04-01,83.30%,100.00%,,,,,
AP014830,2025-04-01,,60.00%,,,,,
AP014857,2025-04-01,,100.00%,,,,,
AP015109,2025-04-01,83.30%,,,,,,
AP015468,2025-04-01,,50.00%,,,,,
AP015670,2025-04-01,66.70%,100.00%,,,,,
AP015684,2025-04-01,,100.00%,,,,,
AP015725,2025-04-01,50.00%,100.00%,,,,,
AP015728,2025-04-01,66.70%,100.00%,,,,,
AP015817,2025-04-01,83.30%,,,,,,
AP015890,2025-04-01,,20.00%,,,,,
AP015941,2025-04-01,100.00%,60.00%,,,,,
AP015961,2025-04-01,33.30%,,,,,,
AP015981,2025-04-01,,100.00%,,,,,
AP016295,2025-04-01,83.30%,100.00%,,20.00%,,,
AP016337,2025-04-01,50.00%,100.00%,,,,,
AP016384,2025-04-01,,42.86%,,,,,
AP016526,2025-04-01,,83.33%,,,,,
AP016548,2025-04-01,83.30%,100.00%,,,,,
AP017168,2025-04-01,,100.00%,,,,,
AP017200,2025-04-01,83.30%,100.00%,,,,,
AP017346,2025-04-01,83.30%,100.00%,,,,,
AP017558,2025-04-01,83.30%,,,,,,
AP017677,2025-04-01,,85.71%,,,,,
AP017706,2025-04-01,33.30%,100.00%,,,,,
AP017715,2025-04-01,33.30%,100.00%,,,,,
AP017932,2025-04-01,83.30%,83.33%,,,,,
AP018006,2025-04-01,83.30%,100.00%,,,,,
AP018063,2025-04-01,,80.00%,,,,,
AP018127,2025-04-01,66.70%,,,,,,
AP018221,2025-04-01,,85.71%,,,,,
AP018255,2025-04-01,,66.67%,,,,,
AP018273,2025-04-01,83.30%,20.00%,,,,,
AP018298,2025-04-01,83.30%,100.00%,,,,,
AP018338,2025-04-01,66.70%,16.67%,,,,,
AP018387,2025-04-01,,28.57%,,,,,
AP018440,2025-04-01,66.70%,,,,,,
AP018459,2025-04-01,66.70%,33.33%,,,,,
AP018500,2025-04-01,66.70%,100.00%,,,,,
AP018509,2025-04-01,83.30%,,16.67%,,,,
AP018609,2025-04-01,,100.00%,,,,,
AP018659,2025-04-01,66.70%,,,,,,
AP018685,2025-04-01,83.30%,20.00%,,,,,
AP018703,2025-04-01,,100.00%,,,,,
AP018707,2025-04-01,83.30%,100.00%,,,,,
AP018709,2025-04-01,100.00%,100.00%,,,,,
AP018715,2025-04-01,66.70%,,,,,,
AP018724,2025-04-01,,100.00%,,,,,
AP018734,2025-04-01,83.30%,,,,,,
AP018758,2025-04-01,50.00%,100.00%,,14.29%,,,
AP018759,2025-04-01,66.70%,100.00%,,,,,
AP018777,2025-04-01,,50.00%,,16.67%,,,
AP018841,2025-04-01,100.00%,,,,,,
AP018895,2025-04-01,83.30%,,,,,,
AP018906,2025-04-01,,100.00%,,,,,
AP018936,2025-04-01,66.70%,60.00%,,,,,
AP019031,2025-04-01,50.00%,85.71%,,,,,
AP019107,2025-04-01,100.00%,,,,,,
AP019138,2025-04-01,,100.00%,,,,,
AP019149,2025-04-01,,100.00%,,,,,
AP019259,2025-04-01,66.70%,,,,,,
AP019262,2025-04-01,83.30%,100.00%,,,,,
AP019339,2025-04-01,,57.14%,,,,,
AP019375,2025-04-01,83.30%,100.00%,,,,,
AP019381,2025-04-01,83.30%,,,,,,
AP019385,2025-04-01,50.00%,71.43%,,,,,
AP019396,2025-04-01,83.30%,100.00%,,16.67%,,,
AP019403,2025-04-01,83.30%,,,,,,
AP019407,2025-04-01,,83.33%,,,,,
AP019448,2025-04-01,,100.00%,,,,,
AP019466,2025-04-01,,100.00%,,,,,
AP019486,2025-04-01,83.30%,100.00%,,,,,
AP019574,2025-04-01,66.70%,40.00%,,,,,
AP019580,2025-04-01,,100.00%,,,,,
AP019582,2025-04-01,50.00%,,,,,,
AP019587,2025-04-01,,40.00%,,,,,
AP019603,2025-04-01,,100.00%,,,,,
AP019670,2025-04-01,,83.33%,,,,,
AP019694,2025-04-01,,16.67%,,,,,
AP019718,2025-04-01,100.00%,100.00%,,,,,
AP019740,2025-04-01,,20.00%,,,,,
AP019741,2025-04-01,50.00%,100.00%,,,,,
AP019743,2025-04-01,83.30%,57.14%,,,,,
AP019784,2025-04-01,,50.00%,,,,,
AP019790,2025-04-01,,100.00%,,,,,
AP019791,2025-04-01,83.30%,,16.67%,,,,
AP019802,2025-04-01,,60.00%,,,,,
AP019842,2025-04-01,66.70%,,,,,,
AP019853,2025-04-01,,80.00%,,,,,
AP019860,2025-04-01,,50.00%,,,,,
AP019868,2025-04-01,83.30%,,,,,,
AP019891,2025-04-01,,71.43%,,,,,
AP019944,2025-04-01,83.30%,100.00%,,,,,
AP019957,2025-04-01,83.30%,20.00%,,,,,
AP019965,2025-04-01,,100.00%,,33.33%,,,
AP019988,2025-04-01,83.30%,33.33%,,,,,
AP020001,2025-04-01,,20.00%,,,,,
AP020017,2025-04-01,,71.43%,,,,,
AP020058,2025-04-01,,57.14%,,,,,
AP020130,2025-04-01,83.30%,100.00%,,,,,
AP020172,2025-04-01,83.30%,100.00%,,,,,
AP020256,2025-04-01,,50.00%,,,,,
AP020292,2025-04-01,66.70%,100.00%,,,,,
AP020294,2025-04-01,,33.33%,,,,,
AP020312,2025-04-01,66.70%,,,,,,
AP020314,2025-04-01,83.30%,,,,,,
AP020368,2025-04-01,100.00%,,,,,,
AP020456,2025-04-01,,75.00%,,,,,
AP020469,2025-04-01,83.30%,100.00%,,,,,
