UIN,association_name,association_type,association_department,association_position,association_city,association_state,association_country,association_postal_code,association_tenure_from_date,association_tenure_to_date,association_level,association_source_url_1,association_source_url_2,association_source_url_3,association_processed_timestamp,association_inserted_timestamp,association_updated_timestamp,association_processed_date,association_inserted_date,association_updated_date,association_delete_flag_timestamp,association_processed_date timestamp,association_inserted_date timestamp
AP000187,Medical Council of India,Government,,Member,New Delhi,New Delhi,India,110077,,,National,https://www.practo.com/visakhapatnam/doctor/dr-shashanka-chunduri-cardiologist-1,,,13:06,13:06,,2025-04-15,2025-04-15,,,2025-04-15 13:06:10,2025-04-15 13:06:10
AP002739,Indian Medical Association,Professional,,Member,New Delhi,New Delhi,India,110002,,,National,https://www.practo.com/guntur/doctor/k-subbarao-endocrinologist,,,14:24,14:24,,2025-04-17,2025-04-17,,,2025-04-17 14:24:11,2025-04-17 14:24:11
AP002784,Indian Medical Association,Professional,,Member,New Delhi,New Delhi,India,110002,,,National,https://www.practo.com/vijayawada/doctor/swapna-sri-boppana-general-physician,,,15:38,15:38,,2025-04-25,2025-04-25,,,2025-04-25 15:38:14,2025-04-25 15:38:14
AP005809,Akshaya Hospital,Hospital,Department of Cardiology,Senior Consultant,Secunderabad,Telangana,India,500056,,,National,https://www.linkedin.com/in/k-sireesha-78383731a,,,12:36,12:36,,2025-06-14,2025-06-14,,,2025-06-14 12:36:36,2025-06-14 12:36:36
AP007468,Cardiological Society of India,Professional,,Member,Kolkata,West Bengal,India,700054,,,National,https://www.practo.com/hyderabad/doctor/dr-sanjeev-kumar-3-cardiologist-1,,,12:02,12:02,,2025-04-16,2025-04-16,,,2025-04-16 12:02:46,2025-04-16 12:02:46
AP010182,Indian Medical Association,Professional,,Member,New Delhi,New Delhi,India,110002,,,National,https://www.practo.com/vijayawada/doctor/dr-tamma-sree-ram-general-physician?specialization=General%20Physician&practice_id=767320,,,18:14,18:14,,2025-04-27,2025-04-27,,,2025-04-27 18:14:20,2025-04-27 18:14:20
AP010182,Research Society for the Study of Diabetes in India,Professional,,Member,New Delhi,New Delhi,India,110063,,,National,https://www.practo.com/vijayawada/doctor/dr-tamma-sree-ram-general-physician?specialization=General%20Physician&practice_id=767320,,,18:14,18:14,,2025-04-27,2025-04-27,,,2025-04-27 18:14:20,2025-04-27 18:14:20
AP011264,American Diabetes Association,Professional,,Member,Arlington County,Virginia,United States,22202,,,International,https://www.practo.com/hyderabad/doctor/dr-dilip-kumar-kandar-diabetologist-general-physician,,,11:14,11:14,,2025-04-25,2025-04-25,,,2025-04-25 11:14:11,2025-04-25 11:14:11
AP011264,Andhra Pradesh Medical Council,Government,,Member,Vijayawada,Andhra Pradesh,India,520008,,,National,https://www.practo.com/hyderabad/doctor/dr-dilip-kumar-kandar-diabetologist-general-physician,,,11:14,11:14,,2025-04-25,2025-04-25,,,2025-04-25 11:14:11,2025-04-25 11:14:11
AP011264,Healthcare Distribution Association,Professional,,Member,London,,United Kingdom,WC2N 5RW,,,International,https://www.practo.com/hyderabad/doctor/dr-dilip-kumar-kandar-diabetologist-general-physician,,,11:14,11:14,,2025-04-25,2025-04-25,,,2025-04-25 11:14:11,2025-04-25 11:14:11
