UIN,award_name,awarded_by,award_year,award_country,award_level,award_source_url_1,award_source_url_2,award_source_url_3,award_processed_timestamp,award_inserted_timestamp,award_updated_timestamp,award_processed_date,award_inserted_date,award_updated_date,award_delete_flag_timestamp,award_processed_date timestamp,award_inserted_date timestamp
AP007468,Corona Warrior Award,,2019,India,National,https://www.practo.com/hyderabad/doctor/dr-sanjeev-kumar-3-cardiologist-1,,,12:02,12:02,,2025-04-16,2025-04-16,,,2025-04-16 12:02:46,2025-04-16 12:02:46
AP010182,First Physician-Diabetologist in Vijayawada Award,,,India,National,https://www.practo.com/vijayawada/doctor/dr-tamma-sree-ram-general-physician?specialization=General%20Physician&practice_id=767320,,,18:14,18:14,,2025-04-27,2025-04-27,,,2025-04-27 18:14:20,2025-04-27 18:14:20
AP011264,Certification Award,American Diabetes Association,2014,United States,National,https://www.practo.com/hyderabad/doctor/dr-dilip-kumar-kandar-diabetologist-general-physician,,,11:14,11:14,,2025-04-25,2025-04-25,,,2025-04-25 11:14:11,2025-04-25 11:14:11
AP011264,Certification Award,Harvard Medical School,2008,United States,National,https://www.practo.com/hyderabad/doctor/dr-dilip-kumar-kandar-diabetologist-general-physician,,,11:14,11:14,,2025-04-25,2025-04-25,,,2025-04-25 11:14:11,2025-04-25 11:14:11
AP011264,Podiatrist & Diabeteist Food Care Specialist Award,"World Diabetes Foundation, International Diabetes Federation",2004,Belgium,International,https://www.practo.com/hyderabad/doctor/dr-dilip-kumar-kandar-diabetologist-general-physician,,,11:14,11:14,,2025-04-25,2025-04-25,,,2025-04-25 11:14:11,2025-04-25 11:14:11
AP011264,1st Insulin Pump Prescriber in Andhra Pradesh,,2004,India,National,https://www.practo.com/hyderabad/doctor/dr-dilip-kumar-kandar-diabetologist-general-physician,,,11:14,11:14,,2025-04-25,2025-04-25,,,2025-04-25 11:14:11,2025-04-25 11:14:11
AP018306,Special Appreciation Award,,,India,National,https://www.practo.com/hyderabad/doctor/dr-n-papa-rao-general-physician,,,18:24:32,18:24:32,,2025-06-12,2025-06-12,,,2025-06-12 18:24:32,2025-06-12 18:24:32
AP018306,Endless number of Awards,,,India,National,https://www.practo.com/hyderabad/doctor/dr-n-papa-rao-general-physician,,,18:24:32,18:24:32,,2025-06-12,2025-06-12,,,2025-06-12 18:24:32,2025-06-12 18:24:32
AP019740,Gold Medallist in ENT,,2004,India,National,https://www.practo.com/hyderabad/doctor/mohammed-anfas-general-physician,,,17:36,17:36,,2025-04-15,2025-04-15,,,2025-04-15 17:36:35,2025-04-15 17:36:35
AP020114,Pratibha Award,,2001,India,National,https://www.practo.com/visakhapatnam/doctor/meghanath-yenni-general-physician,,,17:54,17:54,,2025-04-25,2025-04-25,,,2025-04-25 17:54:54,2025-04-25 17:54:54
AP022712,2 Gold Medals In MBBS,,2007,India,National,https://www.practo.com/nellore/doctor/mv-rama-mohan-endocrinologist,,,18:22,18:22,,2025-04-16,2025-04-16,,,2025-04-16 18:22:58,2025-04-16 18:22:58
AP028410,Best Poster Award,"APICON, New Delhi",2014,India,National,https://www.practo.com/hyderabad/doctor/raghavendra-cheruku-cardiologist/consult,,,13:37,13:37,,2025-04-15,2025-04-15,,,2025-04-15 13:37:31,2025-04-15 13:37:31
AS007274,Certificate Of Appreciation,PHFI for Thyroid Disease & Cardio-vascular Disease,2015,India,National,https://www.practo.com/guwahati/doctor/dr-nasimur-riaz-diabetologist,,,18:07:09,18:07:09,,2025-06-12,2025-06-12,,,2025-06-12 18:07:09,2025-06-12 18:07:09
AS007274,Certificate Of Appreciation,World Heart Federation,2015,India,National,https://www.practo.com/guwahati/doctor/dr-nasimur-riaz-diabetologist,,,18:07,18:07,,2025-06-12,2025-06-12,,,2025-06-12 18:07:09,2025-06-12 18:07:09
BR006654,Outstanding service to the community,"Shri Agarwal Sabha, Chennai",2012,India,National,https://www.practo.com/bangalore/doctor/dr-pravin-k-aggarwal-general-physician?practice_id=702067,,,9:48,9:48,,2025-04-16,2025-04-16,,,2025-04-16 09:48:41,2025-04-16 09:48:41
BR007674,People's Doctor Award,Beejak Sewa Sansthan,2018,India,National,https://www.practo.com/ghaziabad/doctor/kaushal-kumar-jha-general-physician,,,17:25,17:25,,2025-04-29,2025-04-29,,,2025-04-29 17:25:34,2025-04-29 17:25:34
BR019375,Taiwan Family Medicine Research Award,,2016,India,National,https://www.practo.com/patna/doctor/pratyush-kumar-mishra-general-practitioner?specialization=General%20Physician&practice_id=1210583,,,18:22,18:22,,2025-04-15,2025-04-15,,,2025-04-15 18:22:34,2025-04-15 18:22:34
BR019375,Young Researcher Award,,2016,India,National,https://www.practo.com/patna/doctor/pratyush-kumar-mishra-general-practitioner?specialization=General%20Physician&practice_id=1210583,,,18:22,18:22,,2025-04-15,2025-04-15,,,2025-04-15 18:22:34,2025-04-15 18:22:34
BR019375,Best DNB Doctor Award,,,India,National,https://www.drpratyush.com/home,,,17:18:18,17:18:18,,2025-06-11,2025-06-11,,,2025-06-11 17:18:18,2025-06-11 17:18:18
BR019375,Best Physician In Patna,,,India,National,https://www.drpratyush.com/home,,,17:18:18,17:18:18,,2025-06-11,2025-06-11,,,2025-06-11 17:18:18,2025-06-11 17:18:18
BR019375,Best Diabetes Doctor in Patna,,,India,National,https://www.drpratyush.com/home,,,17:18:18,17:18:18,,2025-06-11,2025-06-11,,,2025-06-11 17:18:18,2025-06-11 17:18:18
BR027682,Meritorious Service Award,Indian Railways,2016,India,National,https://www.practo.com/patna/doctor/pramod-kumar-ojha-cardiologist,,,18:01,18:01,,2025-06-13,2025-06-13,,,2025-06-13 18:01:05,2025-06-13 18:01:05
BR028634,President Scout Award,,1994,India,National,https://www.practo.com/patna/doctor/amit-kumar-31-diabetologist,,,17:35,17:35,,2025-04-21,2025-04-21,,,2025-04-21 17:35:53,2025-04-21 17:35:53
DL000235,Gold Medallist,BLDEA's Shri B M Patil Medical College,1996,India,National,https://www.practo.com/delhi/doctor/dr-g-j-singh-internal-medicine-1,,,12:25,12:25,,2025-06-14,2025-06-14,,,2025-06-14 12:25:33,2025-06-14 12:25:33
DL000235,Scholistic Award,Middle East Region - Air India,1990,India,National,https://www.practo.com/delhi/doctor/dr-g-j-singh-internal-medicine-1,,,12:25:33,12:25:33,,2025-06-14,2025-06-14,,,2025-06-14 12:25:33,2025-06-14 12:25:33
DL002682,Dr G N Tandon Memorial Gold Medal Award,,,India,National,https://www.practo.com/delhi/doctor/dr-anil-vardani-1-internal-medicine,,,9:53,9:53,,2025-06-10,2025-06-10,,,2025-06-10 09:53:16,2025-06-10 09:53:16
DL005196,Best Outgoing Resident Award,Maulana Azad Medical College,,India,National,"https://www.practo.com/delhi/doctor/dr-saptarshi-bhattacharya-endocrinologist?practice_id=912154&specialization=Endocrinologist&referrer=doctor_listing#:~:text=Saptarshi%20Bhattacharya%20is%20an%20endocrinologist,)%20from%20Maulana%20Azad%20…",,,10:24,10:24,,2025-04-25,2025-04-25,,,2025-04-25 10:24:01,2025-04-25 10:24:01
DL006045,Distinguished Service Award,Delhi Medical Association,2009,India,National,https://www.practo.com/delhi/doctor/dr-r-k-marya-general-physician,,,18:17,18:17,,2025-06-12,2025-06-12,,,2025-06-12 18:17:01,2025-06-12 18:17:01
DL006045,Dr. D.K. Pal Memorial Oration,Indian Medical Association,2008,India,National,https://www.practo.com/delhi/doctor/dr-r-k-marya-general-physician,,,18:17,18:17,,2025-06-12,2025-06-12,,,2025-06-12 18:17:01,2025-06-12 18:17:01
DL006045,Executive Editor,IMA Academy,2004,India,National,https://www.practo.com/delhi/doctor/dr-r-k-marya-general-physician,,,18:17,18:17,,2025-06-12,2025-06-12,,,2025-06-12 18:17:01,2025-06-12 18:17:01
DL008137,Won Award For Research Paper Presentation,Endo Update,2016,India,National,https://www.practo.com/delhi/doctor/dr-arun-kumar-c-singh-endocrinologist,,,9:59,9:59,,2025-04-25,2025-04-25,,,2025-04-25 09:59:39,2025-04-25 09:59:39
DL008137,Won Award For Research Paper Presentation,"Esicon, Delhi",2016,India,National,https://www.practo.com/delhi/doctor/dr-arun-kumar-c-singh-endocrinologist,,,9:59,9:59,,2025-04-25,2025-04-25,,,2025-04-25 09:59:39,2025-04-25 09:59:39
DL008205,Gold Medallist,,1995,India,National,https://www.practo.com/delhi/doctor/dr-sanjay-k-jain-pediatrician,,,15:16,15:16,,2025-04-16,2025-04-16,,,2025-04-16 15:16:14,2025-04-16 15:16:14
DL008207,Gold Medallist,Shyama Prasad Mukherji College for Women,1987,India,National,"https://www.practo.com/delhi/doctor/dr-ashok-pansari-general-physician#:~:text=Ashok%20Pansari%20is%20a%20Consultant,completed%20MBBS%20from%20University…",,,14:49,14:49,,2025-04-16,2025-04-16,,,2025-04-16 14:49:53,2025-04-16 14:49:53
DL008600,"""Honourable Mention"" as Young Investigator during Oral Presentation",American Association of Clinical Endocrinology Annual Meeting and Clinical Congress,2006,United States,International,https://www.practo.com/delhi/doctor/dr-niti-agarwal-endocrinologist,,,12:52,12:52,,2025-04-29,2025-04-29,,,2025-04-29 12:52:29,2025-04-29 12:52:29
DL008600,International Travel Grant Award for Poster Presentation,"American Association of Clinical Endocrinology, 15th Annual Meeting and Clinical Congress",2006,United States,International,https://www.practo.com/delhi/doctor/dr-niti-agarwal-endocrinologist,,,12:52,12:52,,2025-04-29,2025-04-29,,,2025-04-29 12:52:29,2025-04-29 12:52:29
DL008731,Best Research Paper Award,Indian Journal of Endocrinology and Metabolism,2017,India,National,https://www.practo.com/delhi/doctor/vineet-kumar-surana-endocrinologist,,,12:42,12:42,,2025-04-16,2025-04-16,,,2025-04-16 12:42:50,2025-04-16 12:42:50
DL008731,AV Gandhi Award for Excellence in Endocrinology,,2014,India,National,https://www.practo.com/delhi/doctor/vineet-kumar-surana-endocrinologist,,,12:42,12:42,,2025-04-16,2025-04-16,,,2025-04-16 12:42:50,2025-04-16 12:42:50
DL008836,Anil Seth Award for Best Clinical Research in Endocrinology,Endocrine Society of India,2016,India,National,https://www.practo.com/delhi/doctor/dr-prof-deep-dutta,,,17:19,17:19,,2025-04-15,2025-04-15,,,2025-04-15 17:19:52,2025-04-15 17:19:52
DL008836,Novartis Young Investigator Award for best clinical research in diabetes prevention in India,Research Society for the Study of Diabetes in India,2016,India,National,https://www.practo.com/delhi/doctor/dr-prof-deep-dutta,,,17:19,17:19,,2025-04-15,2025-04-15,,,2025-04-15 17:19:52,2025-04-15 17:19:52
