UIN,event_name,event_topic,event_keywords,event_type,event_role,event_start_date,event_end_date,event_other_participants,other_participants_role,event_sponsor,event_location,event_city,event_country,event_link,event_processed_timestamp,event_inserted_timestamp,event_updated_timestamp,event_processed_date,event_inserted_date,event_updated_date,event_delete_flag_timestamp,event_processed_date timestamp,event_inserted_date timestamp
AP007468,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,Session 47 - Calcific & Complex CAD,Coronary Artery Disease,Conference,Panellist,2023-12-07,2023-12-10,"Anuj Kapadia, Satish Chainsingh Suryavanshi, Rajagopala Raju, Pramod Kumar Dhar",Panellist,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,12:02,12:02,,2025-04-16,2025-04-16,,,2025-04-16 12:02:46,2025-04-16 12:02:46
AP010567,2024 Annual Conference of Endocrine Society of India,The Missing Link: Comprehensive Screening in Type 2 Diabetes Management,Diabetes,Conference,Speaker,2024-11-07,2024-11-10,,,Endocrine Society of India,Novotel Visakhapatnam Varun Beach,Visakhapatnam,India,https://www.esicon2024vizag.com/img/esicon2024ScientificProgramme.pdf,12:24,12:24,,2025-04-25,2025-04-25,,,2025-04-25 12:24:13,2025-04-25 12:24:13
AP010567,2020 Institute for Diabetes Endocrinology and Adiposity Digital Conference,Redefining the Insulin Therapy,Insulin,Conference,Speaker,2020-12-06,2020-12-06,,,Conference Series LLC Ltd,,,,http://efaidnbmnnnibpcajpcglclefindmkaj/https://www.ideaskills.com/wp-content/uploads/2020/11/IDEA-CLINICS-NATIONAL-DIGITAL-CONFERENCE-2020-2.pdf,12:24,12:24,,2025-04-25,2025-04-25,,,2025-04-25 12:24:13,2025-04-25 12:24:13
AP011293,2021 COVID-19 (coronavirus) and diabetes,Covid-19 & Diabetes,Diabetes,Webinar,Speaker,2021-06-25,2021-06-25,,,Dr. Mohan's Diabetes Specialties Centre,,,,https://www.youtube.com/watch?v=zOLpUVmfxVE,11:29,11:29,,2025-04-17,2025-04-17,,,2025-04-17 11:29:36,2025-04-17 11:29:36
AP011293,2021 Live Discussion on Diabetes in Women,Diabetes In Women,Diabetes,Webinar,Speaker,2021-11-10,2021-11-10,"V Mohan, N G Sastry, Santhilal, Vamsi Krishna, Vedire Abinav, G Rajasekhar, Shiva Kumar",Speaker,Dr V Mohan,,,,https://www.youtube.com/watch?v=FezUXbiNVTs,11:29,11:29,,2025-04-17,2025-04-17,,,2025-04-17 11:29:36,2025-04-17 11:29:36
AP012667,2022 Cardiological Society of India Update,Colchicine and Cardiology: What is New?,Cardiology,Meeting,Speaker,2022-11-21,2022-11-21,"T Suresh Babu, Siva Kumar Damireddy, G Venkateshwar Reddy",Speaker,Cardiological Society of India,,,,https://heartguruindia.com/pdf/Volume-1-Binder1.pdf,17:44,17:44,,2025-04-27,2025-04-27,,,2025-04-27 17:44:23,2025-04-27 17:44:23
AP012667,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,Antiplatelet & Anticoagulants,Anticoagulants,Conference,Panellist,2023-12-07,2023-12-10,,,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,17:44,17:44,,2025-04-27,2025-04-27,,,2025-04-27 17:44:23,2025-04-27 17:44:23
AP016272,2023 Cardiology World Conference,Assessment of strain imaging in the prediction of early Cancer Therapy-Related Cardiac Dysfunction (CTRCD) troponin and its correlation with serum biomarker (TROPONIN-I),Cardiac Disease,Conference,Author,2023-09-18,2023-09-20,,,Magnus Group,,Valencia,Spain,https://cardiologyworldconferences.wordpress.com/2023/07/06/4th-edition-of-cardiology-world-conference-valencia-spain-3/,18:59,18:59,,2025-04-26,2025-04-26,,,2025-04-26 18:59:18,2025-04-26 18:59:18
AP019790,2023 Platinum Jubilee Annual Conference of Cardiological Society of India,Live Workshop : TEE.. All you need to know : Transmitted from R N Tagore Hospital,Cardiology,Conference,Chair,2023-12-07,2023-12-10,,,Cardiological Society of India,ITC Royal Bengal,Kolkata,India,https://csi.org.in/frontend/assets/assets/csicon.pdf,15:34,15:34,,2025-04-15,2025-04-15,,,2025-04-15 15:34:19,2025-04-15 15:34:19
AP020596,2023 Two day Sub-Regional Conference,Discussion on Two day Sub-Regional,Health Care,Webinar,Speaker,2023-07-04,2023-07-04,,,The Customs Cooperation Fund,Hotel Novotel,Bhopal,India,https://www.youtube.com/watch?v=wzDtiXBggpU,11:46,11:46,,2025-04-27,2025-04-27,,,2025-04-27 11:46:49,2025-04-27 11:46:49
