Client Doctor Code,Campaign Start Date (Month Year),HCP Email Open Rate,HCP WhatsApp Read Rate,HCP Email Click Rate,HCP WhatsApp Click Rate,HCP Call Productive Rate,Last Call Connected Date (Selected Month),Average Duration Connected Calls
AP000091,"February, 2025",,100.00%,,,,,
AP000127,"February, 2025",60.00%,,,,,,
AP000130,"February, 2025",100.00%,100.00%,,,,,
AP000453,"February, 2025",100.00%,,,,,,
AP000476,"February, 2025",,100.00%,,,,,
AP000485,"February, 2025",80.00%,100.00%,,,,,
AP000514,"February, 2025",100.00%,100.00%,,,,,
AP000639,"February, 2025",,100.00%,,,,,
AP000680,"February, 2025",100.00%,,,,,,
AP000688,"February, 2025",,100.00%,,,,,
AP000744,"February, 2025",,100.00%,,,,,
AP0007932,"February, 2025",40.00%,100.00%,,,,,
AP000905,"February, 2025",75.00%,,,,,,
AP001045,"February, 2025",100.00%,100.00%,,,,,
AP001274,"February, 2025",100.00%,,,,,,
AP001559,"February, 2025",100.00%,66.67%,,,,,
AP001678,"February, 2025",100.00%,,,,,,
AP001682,"February, 2025",80.00%,,,,,,
AP001826,"February, 2025",,25.00%,,,,,
AP001847,"February, 2025",,100.00%,,,,,
AP001862,"February, 2025",,66.67%,,,,,
AP002489,"February, 2025",80.00%,66.67%,,,,,
AP002528,"February, 2025",,100.00%,,,,,
AP002739,"February, 2025",100.00%,100.00%,,,,,
AP002810,"February, 2025",100.00%,,,,,,
AP003065,"February, 2025",,100.00%,,,,,
AP003134,"February, 2025",,50.00%,,,,,
AP003152,"February, 2025",100.00%,,,,,,
AP003153,"February, 2025",,100.00%,,,,,
AP003229,"February, 2025",,50.00%,,,,,
AP003245,"February, 2025",,100.00%,,,,,
AP003374,"February, 2025",40.00%,,,,,,
AP003605,"February, 2025",100.00%,,,,,,
AP003701,"February, 2025",60.00%,100.00%,,,,,
AP003750,"February, 2025",100.00%,,,,,,
AP003954,"February, 2025",,100.00%,,,,,
