Client Doctor Code,Campaign Start Date (Month Year),HCP Email Open Rate,HCP WhatsApp Read Rate,HCP Email Click Rate,HCP WhatsApp Click Rate,HCP Call Productive Rate,Last Call Connected Date (Selected Month),Average Duration Connected Calls
AP000091,"July, 2025",,100.00%,,,,,
AP000127,"July, 2025",75.00%,83.33%,,,,,
AP000129,"July, 2025",50.00%,,,,,,
AP000130,"July, 2025",75.00%,100.00%,,,,,
AP000187,"July, 2025",,100.00%,,,,,
AP000421,"July, 2025",,60.00%,,,,,
AP000453,"July, 2025",75.00%,,,,,,
AP000470,"July, 2025",50.00%,,,,,,
AP000476,"July, 2025",50.00%,,,,,,
AP000485,"July, 2025",50.00%,100.00%,,,,,
AP000514,"July, 2025",50.00%,100.00%,,,,,
AP000577,"July, 2025",,100.00%,,,,,
AP000638,"July, 2025",75.00%,100.00%,,,,,
AP000639,"July, 2025",,100.00%,,,,,
AP000688,"July, 2025",,100.00%,,,,,
AP000696,"July, 2025",100.00%,100.00%,,,,,
AP000744,"July, 2025",,100.00%,,,,,
AP0007932,"July, 2025",50.00%,100.00%,,,,,
AP000885,"July, 2025",,40.00%,,40.00%,,,
AP001274,"July, 2025",50.00%,,,,,,
AP001481,"July, 2025",100.00%,,,,,,
AP001489,"July, 2025",100.00%,100.00%,,,,,
AP001544,"July, 2025",,100.00%,,,,,
AP001718,"July, 2025",,100.00%,,,,,
AP001826,"July, 2025",,75.00%,,,,,
AP001847,"July, 2025",,100.00%,,,,,
AP002420,"July, 2025",,100.00%,,,,,
AP002489,"July, 2025",50.00%,,,,,,
AP002585,"July, 2025",25.00%,,,,,,
AP002600,"July, 2025",,100.00%,,,,,
AP002739,"July, 2025",75.00%,100.00%,,,,,
AP002830,"July, 2025",100.00%,100.00%,,,,,
AP003065,"July, 2025",50.00%,100.00%,,,,,
AP003153,"July, 2025",,80.00%,,,,,
AP003165,"July, 2025",,83.33%,,,,,
AP003245,"July, 2025",,83.33%,,,,,
