Client Doctor Code,Campaign Start Date (Month Year),HCP Email Open Rate,HCP WhatsApp Read Rate,HCP Email Click Rate,HCP WhatsApp Click Rate,HCP Call Productive Rate,Last Call Connected Date (Selected Month),Average Duration Connected Calls
AP000091,"June, 2025",,100.00%,,,,,
AP000127,"June, 2025",60.00%,,,,,,
AP000129,"June, 2025",60.00%,83.33%,,,,,
AP000130,"June, 2025",60.00%,100.00%,,,,,
AP000187,"June, 2025",,100.00%,,,,,
AP000239,"June, 2025",,50.00%,,25.00%,,,
AP000412,"June, 2025",,100.00%,,16.67%,,,
AP000421,"June, 2025",,75.00%,,,,,
AP000453,"June, 2025",60.00%,,,,,,
AP000470,"June, 2025",60.00%,,,,,,
AP000514,"June, 2025",80.00%,100.00%,,16.67%,,,
AP000542,"June, 2025",,33.33%,,,,,
AP000577,"June, 2025",,100.00%,,,,,
AP000639,"June, 2025",,100.00%,,,,,
AP000680,"June, 2025",50.00%,33.33%,,,,,
AP000688,"June, 2025",,100.00%,,,,,
AP000744,"June, 2025",,100.00%,,,,,
AP0007932,"June, 2025",40.00%,25.00%,,,,,
AP001045,"June, 2025",100.00%,,,,,,
AP001274,"June, 2025",60.00%,,,,,,
AP001443,"June, 2025",,100.00%,,20.00%,,,
AP001481,"June, 2025",60.00%,,,,,,
AP001489,"June, 2025",80.00%,80.00%,,,,,
AP001544,"June, 2025",,100.00%,,16.67%,,,
AP001559,"June, 2025",100.00%,,,,,,
AP001678,"June, 2025",50.00%,,,,,,
AP001718,"June, 2025",,100.00%,,,,,
AP001739,"June, 2025",,100.00%,,,,,
AP001826,"June, 2025",,50.00%,,,,,
AP001847,"June, 2025",,100.00%,,,,,
AP001862,"June, 2025",,100.00%,,,,,
AP002226,"June, 2025",,80.00%,,,,,
AP002489,"June, 2025",80.00%,,,,,,
AP002528,"June, 2025",,100.00%,,,,,
AP002585,"June, 2025",80.00%,,,,,,
AP002600,"June, 2025",,100.00%,,,,,
AP002739,"June, 2025",60.00%,100.00%,,,,,
AP002805,"June, 2025",80.00%,25.00%,,,,,
AP003065,"June, 2025",60.00%,100.00%,,,,,
AP003133,"June, 2025",80.00%,100.00%,,,,,
AP003134,"June, 2025",,50.00%,,,,,
AP003153,"June, 2025",,100.00%,,,,,
AP003165,"June, 2025",,100.00%,,,,,
AP003229,"June, 2025",,60.00%,,,,,
AP003245,"June, 2025",,100.00%,,,,,
AP003605,"June, 2025",100.00%,50.00%,,,,,
AP003635,"June, 2025",80.00%,,,,,,
AP003701,"June, 2025",80.00%,100.00%,,,,,
AP003954,"June, 2025",,100.00%,,,,,
AP004007,"June, 2025",100.00%,100.00%,,,,,
AP004099,"June, 2025",80.00%,,,,,,
AP004267,"June, 2025",,100.00%,,,,,
AP004299,"June, 2025",80.00%,,,,,,
AP004355,"June, 2025",,100.00%,,,,,
AP004359,"June, 2025",40.00%,,,,,,
AP004362,"June, 2025",80.00%,,,,,,
AP004404,"June, 2025",80.00%,,,,,,
AP004411,"June, 2025",60.00%,100.00%,,,,,
AP004430,"June, 2025",,20.00%,,,,,
AP004520,"June, 2025",60.00%,,,,,,
AP004525,"June, 2025",80.00%,100.00%,,,,,
AP004540,"June, 2025",40.00%,100.00%,,,,,
AP004575,"June, 2025",,100.00%,,,,,
AP004731,"June, 2025",80.00%,100.00%,,,,,
