Client Doctor Code,Campaign Start Date (Month Year),HCP Email Open Rate,HCP WhatsApp Read Rate,HCP Email Click Rate,HCP WhatsApp Click Rate,HCP Call Productive Rate,Last Call Connected Date (Selected Month),Average Duration Connected Calls
AP000127,"March, 2025",42.9%,,,,,,
AP000129,"March, 2025",100.0%,,,,,,
AP000453,"March, 2025",42.9%,16.67%,,16.67%,,,
AP000485,"March, 2025",71.4%,66.67%,,,,,
AP000512,"March, 2025",33.3%,,,,,,
AP000577,"March, 2025",100.0%,66.67%,,,,,
AP000591,"March, 2025",71.4%,100.00%,,,,,
AP000593,"March, 2025",71.4%,,,,,,
AP000639,"March, 2025",,100.00%,,,,,
AP000680,"March, 2025",42.9%,,,,,,
AP0007932,"March, 2025",57.1%,42.86%,,,,,
AP001045,"March, 2025",57.1%,50.00%,,,,,
AP001274,"March, 2025",85.7%,,,,,,
AP001443,"March, 2025",100.0%,100.00%,,,,,
AP001481,"March, 2025",42.9%,,,,,,
AP001559,"March, 2025",85.7%,71.43%,,14.29%,,,
AP001678,"March, 2025",85.7%,,,,,,
AP001739,"March, 2025",,16.67%,,,,,
AP001826,"March, 2025",,85.71%,,,,,
AP001862,"March, 2025",,100.00%,,,,,
AP002489,"March, 2025",85.7%,,,,,,
AP002528,"March, 2025",,100.00%,,,,,
AP002585,"March, 2025",100.0%,,,,,,
AP002600,"March, 2025",,100.00%,,,,,
AP002739,"March, 2025",42.9%,100.00%,,,,,
AP002784,"March, 2025",,14.29%,,14.29%,,,
AP002810,"March, 2025",100.0%,,,,,,
AP002830,"March, 2025",,85.71%,,,,,
AP003153,"March, 2025",,57.14%,,,,,
AP003165,"March, 2025",,28.57%,,,,,
AP003229,"March, 2025",,57.14%,,,,,
AP003245,"March, 2025",,100.00%,,,,,
AP003605,"March, 2025",14.3%,,,,,,
AP003635,"March, 2025",100.0%,,,,,,
AP003701,"March, 2025",100.0%,14.29%,,,,,
AP003750,"March, 2025",28.6%,16.67%,,,,,
AP004085,"March, 2025",57.1%,,,,,,
AP004138,"March, 2025",42.9%,,,,,,
AP004227,"March, 2025",57.1%,100.00%,,,,,
AP004267,"March, 2025",,50.00%,,,,,
AP004299,"March, 2025",85.7%,,,,,,
AP004355,"March, 2025",,100.00%,,,,,
AP004359,"March, 2025",42.9%,,,,,,
AP004500,"March, 2025",85.7%,,,,,,
AP004520,"March, 2025",28.6%,14.29%,,,,,
AP004525,"March, 2025",42.9%,100.00%,,,,,
AP004731,"March, 2025",71.4%,42.86%,,,,,
AP004746,"March, 2025",,100.00%,,,,,
AP004787,"March, 2025",57.1%,,,,,,
AP004788,"March, 2025",,100.00%,,,,,
AP004978,"March, 2025",,83.33%,,,,,
AP005043,"March, 2025",28.6%,85.71%,,,,,
AP005067,"March, 2025",71.4%,,,,,,
AP005099,"March, 2025",,42.86%,,,,,
AP005133,"March, 2025",14.3%,71.43%,,,,,
AP005147,"March, 2025",71.4%,100.00%,,,,,
AP005189,"March, 2025",100.0%,100.00%,,,,,
AP005232,"March, 2025",42.9%,,,,,,
AP005256,"March, 2025",85.7%,,,,,,
AP005261,"March, 2025",,100.00%,,,,,
AP005275,"March, 2025",57.1%,,,,,,
AP005279,"March, 2025",85.7%,100.00%,,16.67%,,,
AP005410,"March, 2025",,71.43%,,,,,
AP005440,"March, 2025",71.4%,,,,,,
AP005518,"March, 2025",85.7%,,,,,,
AP005600,"March, 2025",,100.00%,,,,,
AP005613,"March, 2025",42.9%,85.71%,,,,,
AP005649,"March, 2025",,42.86%,,,,,
AP005667,"March, 2025",14.3%,,,,,,
AP005770,"March, 2025",,100.00%,,,,,
AP005809,"March, 2025",42.9%,100.00%,,,,,
AP005850,"March, 2025",71.4%,100.00%,,,,,
AP005985,"March, 2025",42.9%,,,,,,
AP005990,"March, 2025",,100.00%,,,,,
AP005997,"March, 2025",,57.14%,,,,,
AP006003,"March, 2025",,100.00%,,,,,
AP006079,"March, 2025",,100.00%,,,,,
AP006310,"March, 2025",,100.00%,,,,,
AP006314,"March, 2025",,28.57%,,,,,
AP006522,"March, 2025",,100.00%,,,,,
AP006704,"March, 2025",,100.00%,,,,,
AP006758,"March, 2025",85.7%,28.57%,,,,,
AP007430,"March, 2025",71.4%,,,,,,
AP007463,"March, 2025",,100.00%,,,,,
