Client Doctor Code,Campaign Start Date (Month Year),HCP Email Open Rate,HCP WhatsApp Read Rate,HCP Email Click Rate,HCP WhatsApp Click Rate,HCP Call Productive Rate,Last Call Connected Date (Selected Month),Average Duration Connected Calls
AP000127,"May, 2025",75.0%,,,,,,
AP000130,"May, 2025",75.0%,100.00%,,,,,
AP000187,"May, 2025",,100.00%,,,,,
AP000239,"May, 2025",,75.00%,,,,,
AP000421,"May, 2025",,75.00%,,,,,
AP000453,"May, 2025",100.0%,,,,,,
AP000470,"May, 2025",75.0%,,,,,,
AP000476,"May, 2025",50.0%,,,,,,
AP000512,"May, 2025",,75.00%,,,,,
AP000514,"May, 2025",75.0%,100.00%,,,,,
AP000542,"May, 2025",,25.00%,,,,,
AP000577,"May, 2025",,100.00%,,,,,
AP000591,"May, 2025",100.0%,100.00%,,,,,
AP000593,"May, 2025",75.0%,,,,,,
AP000639,"May, 2025",,100.00%,,,,,
AP000680,"May, 2025",75.0%,100.00%,,,,,
AP000688,"May, 2025",,100.00%,,,,,
AP000744,"May, 2025",,100.00%,,,,,
AP0007932,"May, 2025",100.0%,100.00%,,,,,
AP000885,"May, 2025",,25.00%,,25.00%,,,
AP001045,"May, 2025",25.0%,100.00%,,,,,
AP001154,"May, 2025",,75.00%,,,,,
AP001274,"May, 2025",100.0%,,,,,,
AP001341,"May, 2025",100.0%,100.00%,,,,,
AP001470,"May, 2025",100.0%,,,,,,
AP001481,"May, 2025",100.0%,,,,,,
AP001489,"May, 2025",75.0%,,,,,,
AP001544,"May, 2025",,25.00%,,,,,
AP001559,"May, 2025",50.0%,100.00%,,,,,
AP001678,"May, 2025",100.0%,,,,,,
AP001718,"May, 2025",,100.00%,,,,,
AP001826,"May, 2025",,66.67%,,,,,
AP001847,"May, 2025",,100.00%,,,,,
AP001862,"May, 2025",,25.00%,,,,,
AP002420,"May, 2025",,100.00%,,,,,
AP002489,"May, 2025",75.0%,,,,,,
AP002528,"May, 2025",,100.00%,,,,,
AP002739,"May, 2025",75.0%,100.00%,,,,,
AP002805,"May, 2025",100.0%,100.00%,,,,,
AP002810,"May, 2025",,100.00%,,,,,
AP002830,"May, 2025",50.0%,100.00%,,,,,
AP003065,"May, 2025",100.0%,100.00%,,,,,
AP003134,"May, 2025",,50.00%,,,,,
AP003152,"May, 2025",100.0%,,,,,,
AP003153,"May, 2025",,50.00%,,,,,
AP003165,"May, 2025",,100.00%,,,,,
AP003229,"May, 2025",,25.00%,,,,,
AP003245,"May, 2025",,100.00%,,,,,
AP003374,"May, 2025",33.3%,,,,,,
AP003605,"May, 2025",50.0%,,,,,,
AP003635,"May, 2025",75.0%,,,,,,
AP003701,"May, 2025",100.0%,100.00%,,,,,
AP003750,"May, 2025",75.0%,,,,,,
AP003954,"May, 2025",,100.00%,,,,,
AP004007,"May, 2025",100.0%,25.00%,,,,,
AP004085,"May, 2025",75.0%,,,,,,
AP004099,"May, 2025",75.0%,50.00%,,,,,
AP004138,"May, 2025",75.0%,,,,,,
AP004140,"May, 2025",100.0%,50.00%,,,,,
AP004227,"May, 2025",75.0%,100.00%,,,,,
AP004267,"May, 2025",,50.00%,,,,,
AP004355,"May, 2025",,100.00%,,,,,
AP004359,"May, 2025",75.0%,,,,,,
AP004361,"May, 2025",100.0%,75.00%,,,,,
AP004362,"May, 2025",100.0%,,,,,,
AP004404,"May, 2025",75.0%,,,,,,
AP004411,"May, 2025",75.0%,100.00%,,,,,
AP004430,"May, 2025",,75.00%,,,,,
AP004500,"May, 2025",100.0%,,,,,,
AP004520,"May, 2025",50.0%,100.00%,,,,,
AP004763,"May, 2025",,100.00%,,,,,
AP004787,"May, 2025",75.0%,,,,,,
AP004788,"May, 2025",,100.00%,,,,,
AP004791,"May, 2025",,75.00%,,,,,
AP004794,"May, 2025",,100.00%,,,,,
AP004862,"May, 2025",,100.00%,,,,,
AP004978,"May, 2025",,50.00%,,,,,
AP005003,"May, 2025",,100.00%,,,,,
AP005043,"May, 2025",100.0%,75.00%,,,,,
AP005067,"May, 2025",50.0%,,,,,,
AP005099,"May, 2025",,25.00%,,,,,
AP005102,"May, 2025",75.0%,75.00%,,,,,
AP005131,"May, 2025",25.0%,100.00%,,,,,
AP005133,"May, 2025",100.0%,50.00%,,,,,
AP005147,"May, 2025",75.0%,100.00%,,,,,
AP005189,"May, 2025",100.0%,100.00%,,,,,
AP005232,"May, 2025",75.0%,,,,,,
AP005234,"May, 2025",,75.00%,,,,,
AP005255,"May, 2025",,100.00%,,,,,
AP005256,"May, 2025",100.0%,,,,,,
AP005261,"May, 2025",,100.00%,,,,,
AP005275,"May, 2025",75.0%,,,,,,
AP005279,"May, 2025",100.0%,100.00%,,25.00%,,,
AP005410,"May, 2025",,75.00%,,,,,
AP005440,"May, 2025",75.0%,,,,,,
AP005451,"May, 2025",,50.00%,,,,,
AP005466,"May, 2025",,75.00%,,,,,
AP005518,"May, 2025",100.0%,,,,,,
AP005649,"May, 2025",,100.00%,,,,,
AP005767,"May, 2025",75.0%,25.00%,,,,,
AP005770,"May, 2025",,100.00%,,,,,
AP005771,"May, 2025",,100.00%,,,,,
AP005846,"May, 2025",,100.00%,,,,,
AP005850,"May, 2025",100.0%,100.00%,,,,,
AP005985,"May, 2025",75.0%,75.00%,,25.00%,,,
AP005990,"May, 2025",,100.00%,,,,,
AP005997,"May, 2025",,100.00%,,,,,
AP006003,"May, 2025",,100.00%,,,,,
AP006079,"May, 2025",,100.00%,,,,,
AP006102,"May, 2025",,100.00%,,,,,
AP006268,"May, 2025",75.0%,100.00%,,,,,
AP006310,"May, 2025",,100.00%,,,,,
AP006314,"May, 2025",,100.00%,,,,,
AP006474,"May, 2025",,25.00%,,,,,
AP006522,"May, 2025",,100.00%,,,,,
