uin,acd_institute_name,acd_institute_type,acd_department,acd_position,acd_city,acd_state,acd_country,acd_postal_code,acd_tenure_from_date,acd_tenure_to_date,acd_association_level,acd_source_url1,acd_source_url2,acd_source_url3,acd_processed_date_timestamp,acd_inserted_date_timestamp,acd_updated_timestamp,acd_delete_flag_timestamp
AP000349,,,,,,,,,,,,,,,,,,
AP000409,,,,,,,,,,,,,,,,,,
AP000422,,,,,,,,,,,,,,,,,,
AP000470,,,,,,,,,,,,,,,,,,
AP000573,,,,,,,,,,,,,,,,,,
AP000591,,,,,,,,,,,,,,,,,,
AP000593,,,,,,,,,,,,,,,,,,
AP000790,,,,,,,,,,,,,,,,,,
AP000848,Osmania Medical College,Academic,Department of Endocrinology,Associate Professor,Hyderabad,Telangana,India,500095.0,2006.0,2009.0,National,https://www.practo.com/visakhapatnam/doctor/dr-jayanthy-ramesh-endocrinologist?practice_id=1129694&specialization=Thyroid%20Swelling&referrer=doctor_listing&category_name=service&category_id=1643,,,2025-04-12 10:53:23,2025-04-12 10:53:23,,
AP000848,Osmania Medical College,Academic,Department of Endocrinology,Assistant Professor,Hyderabad,Telangana,India,500095.0,1999.0,2004.0,National,https://www.practo.com/visakhapatnam/doctor/dr-jayanthy-ramesh-endocrinologist?practice_id=1129694&specialization=Thyroid%20Swelling&referrer=doctor_listing&category_name=service&category_id=1643,,,2025-04-12 10:22:53,2025-04-12 10:22:53,,
AP000873,,,,,,,,,,,,,,,,,,
AP000893,,,,,,,,,,,,,,,,,,
AP000905,,,,,,,,,,,,,,,,,,
AP000919,,,,,,,,,,,,,,,,,,
AP001070,,,,,,,,,,,,,,,,,,
AP001363,,,,,,,,,,,,,,,,,,
AP001544,,,,,,,,,,,,,,,,,,
AP001573,,,,,,,,,,,,,,,,,,
AP001673,,,,,,,,,,,,,,,,,,
AP001678,,,,,,,,,,,,,,,,,,
AP001718,,,,,,,,,,,,,,,,,,
AP002489,Sree Balaji Medical College,Academic,Department of Internal Medicine,Assistant Professor,Chennai,Tamil Nadu,India,600044.0,2020.0,,National,https://sbmch.ac.in/wp-content/uploads/2023/04/newsletter_Jan_Mar20.pdf,,,2025-03-24 12:03:47,2025-03-24 12:03:47,,
AP002797,,,,,,,,,,,,,,,,,,
AP002805,,,,,,,,,,,,,,,,,,
AP003540,,,,,,,,,,,,,,,,,,
AP003605,,,,,,,,,,,,,,,,,,
AP003709,,,,,,,,,,,,,,,,,,
AP003874,,,,,,,,,,,,,,,,,,
AP004016,,,,,,,,,,,,,,,,,,
