client_doctor_code,campaign_start_date_(month_year),hcp_email_open_rate,hcp_whatsapp_read_rate,hcp_email_click_rate,hcp_whatsapp_click_rate,hcp_call_productive_rate,last_call_connected_date_(selected_month),average_duration_connected_calls
AP000091,2025-04-01,,0.8571428571428571,,,,,
AP000127,2025-04-01,0.8333333333333334,,,,,,
AP000187,2025-04-01,,1.0,,,,,
AP000200,2025-04-01,0.8333333333333334,1.0,,0.2857142857142857,,,
AP000453,2025-04-01,0.5,,,,,,
AP000476,2025-04-01,0.8333333333333334,,,,,,
AP000512,2025-04-01,,0.25,,,,,
AP000514,2025-04-01,0.8333333333333334,1.0,,,,,
AP000542,2025-04-01,,1.0,,,,,
AP000593,2025-04-01,0.5,,,,,,
AP000639,2025-04-01,,1.0,,,,,
AP000680,2025-04-01,0.8333333333333334,,,,,,
AP000688,2025-04-01,,0.8571428571428571,,,,,
AP0007932,2025-04-01,0.6666666666666666,0.42857142857142855,,,,,
AP001274,2025-04-01,0.8333333333333334,,,,,,
AP001470,2025-04-01,0.6666666666666666,,,,,,
AP001544,2025-04-01,,1.0,,,,,
AP001559,2025-04-01,0.8333333333333334,,,,,,
AP001678,2025-04-01,0.6666666666666666,,,,,,
AP001718,2025-04-01,,1.0,,,,,
AP001739,2025-04-01,,0.8,,,,,
AP001826,2025-04-01,,0.8333333333333334,,,,,
AP001862,2025-04-01,0.16666666666666666,1.0,,,,,
AP002226,2025-04-01,,1.0,,,,,
AP002420,2025-04-01,,1.0,,,,,
AP002489,2025-04-01,0.6666666666666666,,,,,,
AP002739,2025-04-01,0.5,0.8571428571428571,,,,,
AP002810,2025-04-01,1.0,,,,,,
AP003065,2025-04-01,0.6666666666666666,1.0,,,,,
AP003153,2025-04-01,,0.6,,0.2,,,
AP003229,2025-04-01,0.16666666666666666,0.25,,,,,
AP003245,2025-04-01,,1.0,,,,,
AP003605,2025-04-01,0.3333333333333333,0.2,,,,,
AP003635,2025-04-01,0.3333333333333333,,,,,,
