uin,award_name,awarded_by,award_year,award_country,award_level,award_source_url_1,award_source_url_2,award_source_url_3,award_processed_date_timestamp,award_inserted_date_timestamp,award_updated_timestamp,award_delete_flag_timestamp
AP000349,,,,,,,,,,,,
AP000409,Best Paper Award,National Cardiology Update,2011.0,India,National,https://www.practo.com/hyderabad/doctor/dr-ashok-venkatanarasu-endocrinologist,,,2025-04-02 10:44:43,2025-04-02 10:44:43,,
AP000422,,,,,,,,,,,,
AP000470,,,,,,,,,,,,
AP000573,,,,,,,,,,,,
AP000591,,,,,,,,,,,,
AP000593,,,,,,,,,,,,
AP000790,,,,,,,,,,,,
AP000848,Recognised Guide Award,,2009.0,India,National,https://www.practo.com/visakhapatnam/doctor/dr-jayanthy-ramesh-endocrinologist?practice_id=1129694&specialization=Thyroid%20Swelling&referrer=doctor_listing&category_name=service&category_id=1643,,,2025-04-12 10:04:26,2025-04-12 10:04:26,,
AP000873,,,,,,,,,,,,
AP000893,,,,,,,,,,,,
AP000905,,,,,,,,,,,,
AP000919,,,,,,,,,,,,
AP001070,,,,,,,,,,,,
AP001363,,,,,,,,,,,,
AP001544,,,,,,,,,,,,
AP001573,,,,,,,,,,,,
AP001673,,,,,,,,,,,,
AP001678,,,,,,,,,,,,
AP001718,,,,,,,,,,,,
AP002489,,,,,,,,,,,,
AP002797,,,,,,,,,,,,
AP002805,,,,,,,,,,,,
AP003540,,,,,,,,,,,,
AP003605,Best Challenging Case Presentation Award,American College of Cardiology,2022.0,United States of America,International,https://www.medicoverhospitals.in/doctors/dr-siva-kumar-darimireddy,,,2025-03-29 13:17:34,2025-03-29 13:17:34,,
AP003605,Best Student Award,Andhra Pradesh Medical Council,2010.0,India,National,https://www.medicoverhospitals.in/doctors/dr-siva-kumar-darimireddy,,,2025-03-29 13:17:34,2025-03-29 13:17:34,,
AP003605,Endovascular Intervention Cases Award,EUROPCR,2021.0,India,National,https://www.medicoverhospitals.in/doctors/dr-siva-kumar-darimireddy,,,2025-03-29 13:17:34,2025-03-29 13:17:34,,
AP003605,Endovascular Intervention Cases Award,Society for Cardiovascular Angiography & Interventions,2021.0,United States of America,International,https://www.medicoverhospitals.in/doctors/dr-siva-kumar-darimireddy,,,2025-03-29 13:17:34,2025-03-29 13:17:34,,
AP003605,Fellowship Award,Society for Cardiovascular Angiography & Interventions,2023.0,United States of America,International,https://www.medicoverhospitals.in/doctors/dr-siva-kumar-darimireddy,,,2025-03-29 13:17:34,2025-03-29 13:17:34,,
AP003605,Gold Medal in MD,,2017.0,India,National,https://www.medicoverhospitals.in/doctors/dr-siva-kumar-darimireddy,,,2025-03-29 13:17:34,2025-03-29 13:17:34,,
AP003709,,,,,,,,,,,,
AP003874,,,,,,,,,,,,
AP004016,,,,,,,,,,,,
AP004085,,,,,,,,,,,,
AP004172,Prathiba Gold Medal,,2004.0,India,National,https://www.kimshospitals.com/doctor-profile/dr-moode-sandeep/,,,2025-04-01 11:38:33,2025-04-01 11:38:33,,
AP004237,,,,,,,,,,,,
AP004299,Medal in Clinical Cardiology and University Prize in ENT during Under Graduation,,,,National,https://www.skedoc.com/vijayawada/doctor/dr-k-thrinadh-general-physician,,,2025-03-17 09:37:21,2025-03-17 09:37:21,,
AP004359,,,,,,,,,,,,
AP004363,,,,,,,,,,,,
AP004445,,,,,,,,,,,,
AP004464,,,,,,,,,,,,
AP004525,,,,,,,,,,,,
AP004655,,,,,,,,,,,,
AP004731,,,,,,,,,,,,
AP004787,,,,,,,,,,,,
AP004862,,,,,,,,,,,,
AP004877,,,,,,,,,,,,
AP004895,,,,,,,,,,,,
AP004920,,,,,,,,,,,,
AP005115,,,,,,,,,,,,
AP005187,,,,,,,,,,,,
AP005234,,,,,,,,,,,,
AP005256,,,,,,,,,,,,
AP005261,K.V. Naidu Memorial Award,,2000.0,India,National,http://drrajasekharsvims.blogspot.com/,,,2025-03-22 16:56:51,2025-03-22 16:56:51,,
AP005275,,,,,,,,,,,,
AP005279,,,,,,,,,,,,
AP005441,,,,,,,,,,,,
AP005767,,,,,,,,,,,,
AP005957,,,,,,,,,,,,
AP006268,,,,,,,,,,,,
AP006309,,,,,,,,,,,,
AP006522,,,,,,,,,,,,
AP006704,,,,,,,,,,,,
AP006758,,,,,,,,,,,,
AP007189,,,,,,,,,,,,
AP007932,,,,,,,,,,,,
AP008240,,,,,,,,,,,,
AP008362,Legend Doctor Cardiologist Award,Times Healthcare,2020.0,India,National,https://www.manipalhospitals.com/vijayawada/doctors/dr-murali-krishna-n-interventional-cardiologist/,,,2025-04-03 17:35:20,2025-04-03 17:35:20,,
AP009680,,,,,,,,,,,,
AP010080,,,,,,,,,,,,
AP010166,,,,,,,,,,,,
AP010442,,,,,,,,,,,,
AP010450,,,,,,,,,,,,
AP010603,,,,,,,,,,,,
AP010934,,,,,,,,,,,,
AP011087,,,,,,,,,,,,
AP011237,,,,,,,,,,,,
AP011262,,,,,,,,,,,,
AP011263,,,,,,,,,,,,
