client_doctor_code,campaign_start_date_(month_year),hcp_email_open_rate,hcp_whatsapp_read_rate,hcp_email_click_rate,hcp_whatsapp_click_rate,hcp_call_productive_rate,last_call_connected_date_(selected_month),average_duration_connected_calls
AP000091,2025-02-01,,1.0,,,,,
AP000127,2025-02-01,0.6,,,,,,
AP000130,2025-02-01,1.0,1.0,,,,,
AP000453,2025-02-01,1.0,,,,,,
AP000476,2025-02-01,,1.0,,,,,
AP000485,2025-02-01,0.8,1.0,,,,,
AP000514,2025-02-01,1.0,1.0,,,,,
AP000639,2025-02-01,,1.0,,,,,
AP000680,2025-02-01,1.0,,,,,,
AP000688,2025-02-01,,1.0,,,,,
AP000744,2025-02-01,,1.0,,,,,
AP0007932,2025-02-01,0.4,1.0,,,,,
AP000905,2025-02-01,0.75,,,,,,
AP001045,2025-02-01,1.0,1.0,,,,,
AP001274,2025-02-01,1.0,,,,,,
AP001559,2025-02-01,1.0,0.6666666666666666,,,,,
AP001678,2025-02-01,1.0,,,,,,
AP001682,2025-02-01,0.8,,,,,,
AP001826,2025-02-01,,0.25,,,,,
AP001847,2025-02-01,,1.0,,,,,
AP001862,2025-02-01,,0.6666666666666666,,,,,
AP002489,2025-02-01,0.8,0.6666666666666666,,,,,
AP002528,2025-02-01,,1.0,,,,,
AP002739,2025-02-01,1.0,1.0,,,,,
AP002810,2025-02-01,1.0,,,,,,
AP003065,2025-02-01,,1.0,,,,,
AP003134,2025-02-01,,0.5,,,,,
AP003152,2025-02-01,1.0,,,,,,
AP003153,2025-02-01,,1.0,,,,,
AP003229,2025-02-01,,0.5,,,,,
AP003245,2025-02-01,,1.0,,,,,
AP003374,2025-02-01,0.4,,,,,,
AP003605,2025-02-01,1.0,,,,,,
AP003701,2025-02-01,0.6,1.0,,,,,
AP003750,2025-02-01,1.0,,,,,,
AP003954,2025-02-01,,1.0,,,,,
AP004007,2025-02-01,,1.0,,,,,
AP004085,2025-02-01,0.8,,,,,,
AP004140,2025-02-01,1.0,1.0,,,,,
AP004267,2025-02-01,,0.6666666666666666,,,,,
AP004281,2025-02-01,,1.0,,,,,
AP004299,2025-02-01,1.0,,,,,,
AP004355,2025-02-01,,1.0,,,,,
AP004361,2025-02-01,1.0,1.0,,,,,
AP004411,2025-02-01,1.0,1.0,,,,,
AP004449,2025-02-01,,0.6,,,,,
AP004500,2025-02-01,1.0,,,,,,
AP004525,2025-02-01,1.0,1.0,,,,,
AP004731,2025-02-01,0.8,1.0,,,,,
AP004787,2025-02-01,0.75,,,,,,
AP004788,2025-02-01,,1.0,,,,,
AP004956,2025-02-01,0.8,1.0,,,,,
AP004978,2025-02-01,,0.3333333333333333,,,,,
AP005003,2025-02-01,,1.0,,,,,
AP005043,2025-02-01,0.6,0.5,,,,,
AP005067,2025-02-01,1.0,0.25,,,,,
AP005099,2025-02-01,,0.3333333333333333,,,,,
AP005102,2025-02-01,1.0,1.0,,,,,
AP005115,2025-02-01,,1.0,,,,,
AP005131,2025-02-01,1.0,1.0,,,,,
AP005133,2025-02-01,0.6666666666666666,1.0,,,,,
AP005147,2025-02-01,1.0,1.0,,,,,
AP005189,2025-02-01,1.0,1.0,,,,,
AP005234,2025-02-01,,0.3333333333333333,,,,,
AP005256,2025-02-01,1.0,,,,,,
AP005275,2025-02-01,0.4,,,,,,
AP005440,2025-02-01,1.0,,,,,,
AP005518,2025-02-01,1.0,,,,,,
AP005613,2025-02-01,0.6,0.5,,,,,
AP005649,2025-02-01,,0.5,,,,,
AP005688,2025-02-01,,1.0,,,,,
AP005767,2025-02-01,0.75,1.0,,,,,
AP005770,2025-02-01,,1.0,,,,,
AP005809,2025-02-01,0.6,1.0,,,,,
AP005850,2025-02-01,0.6,1.0,,0.16666666666666666,,,
AP005985,2025-02-01,1.0,0.6666666666666666,,,,,
AP006079,2025-02-01,,1.0,,,,,
AP006268,2025-02-01,,1.0,,,,,
AP006292,2025-02-01,,1.0,,,,,
AP006310,2025-02-01,,1.0,,,,,
AP006314,2025-02-01,,1.0,,,,,
AP006522,2025-02-01,,1.0,,,,,
AP006704,2025-02-01,,1.0,,,,,
AP006758,2025-02-01,0.6,1.0,,,,,
AP008362,2025-02-01,1.0,1.0,,,,,
AP008611,2025-02-01,,1.0,,,,,
AP009557,2025-02-01,0.3333333333333333,1.0,,,,,
AP010080,2025-02-01,1.0,1.0,,,,,
AP010084,2025-02-01,0.8,1.0,,,,,
AP010166,2025-02-01,,0.25,,,,,
AP010603,2025-02-01,,1.0,,0.2,,,
AP011172,2025-02-01,,1.0,,,,,
AP011233,2025-02-01,,1.0,,,,,
AP011237,2025-02-01,1.0,1.0,,,,,
AP011264,2025-02-01,1.0,,,,,,
AP011293,2025-02-01,,1.0,,,,,
AP011299,2025-02-01,,1.0,,,,,
AP011643,2025-02-01,1.0,1.0,,,,,
AP011671,2025-02-01,1.0,,,,,,
AP011792,2025-02-01,0.6,0.5,,,,,
AP011794,2025-02-01,0.8,1.0,,,,,
AP011832,2025-02-01,,1.0,,,,,
AP011876,2025-02-01,,1.0,,,,,
AP011911,2025-02-01,0.6,1.0,,,,,
AP011932,2025-02-01,,1.0,,,,,
AP012011,2025-02-01,1.0,1.0,,,,,
AP012054,2025-02-01,,1.0,,,,,
AP012147,2025-02-01,,1.0,,,,,
AP012164,2025-02-01,,0.75,,,,,
AP012303,2025-02-01,0.3333333333333333,1.0,,,,,
AP012319,2025-02-01,,1.0,,,,,
AP012358,2025-02-01,0.3333333333333333,1.0,,,,,
AP012380,2025-02-01,1.0,1.0,,,,,
AP012449,2025-02-01,,1.0,,,,,
AP012455,2025-02-01,,1.0,,,,,
AP012519,2025-02-01,1.0,,,,,,
AP012582,2025-02-01,,1.0,,,,,
AP012812,2025-02-01,,1.0,,,,,
AP012843,2025-02-01,,1.0,,,,,
AP012888,2025-02-01,,1.0,,,,,
AP012913,2025-02-01,,1.0,,,,,
AP012976,2025-02-01,,1.0,,,,,
AP012978,2025-02-01,1.0,0.5,,,,,
AP013018,2025-02-01,,1.0,,,,,
AP013023,2025-02-01,,0.16666666666666666,,,,,
AP013038,2025-02-01,,1.0,,,,,
AP013057,2025-02-01,1.0,0.25,,0.25,,,
AP013064,2025-02-01,,1.0,,,,,
AP013102,2025-02-01,1.0,1.0,,,,,
AP013110,2025-02-01,,1.0,,,,,
AP013123,2025-02-01,,1.0,,,,,
AP013176,2025-02-01,1.0,,,,,,
AP013200,2025-02-01,0.3333333333333333,1.0,,,,,
AP013204,2025-02-01,,1.0,,,,,
AP013227,2025-02-01,,1.0,,,,,
AP013347,2025-02-01,1.0,1.0,,,,,
AP013350,2025-02-01,,0.75,,,,,
AP013370,2025-02-01,0.4,,,,,,
AP013371,2025-02-01,0.6,,,,,,
AP013378,2025-02-01,,1.0,,,,,
AP013435,2025-02-01,0.8,1.0,,,,,
AP013453,2025-02-01,,1.0,,,,,
AP013505,2025-02-01,,1.0,,,,,
AP013689,2025-02-01,1.0,,,,,,
AP013760,2025-02-01,1.0,1.0,,,,,
AP013867,2025-02-01,,1.0,,,,,
AP013958,2025-02-01,,1.0,,,,,
AP014134,2025-02-01,,1.0,,,,,
AP014209,2025-02-01,,1.0,,,,,
AP014657,2025-02-01,1.0,1.0,,,,,
AP014827,2025-02-01,,1.0,,,,,
AP015109,2025-02-01,1.0,,,,,,
AP015468,2025-02-01,,1.0,,,,,
AP015670,2025-02-01,0.8,1.0,,,,,
AP015725,2025-02-01,0.6,1.0,,,,,
