client_doctor_code,campaign_start_date_(month_year),hcp_email_open_rate,hcp_whatsapp_read_rate,hcp_email_click_rate,hcp_whatsapp_click_rate,hcp_call_productive_rate,last_call_connected_date_(selected_month),average_duration_connected_calls
AP000127,2025-01-01,0.6666666666666666,,,,,,
AP000130,2025-01-01,1.0,1.0,,,,,
AP000239,2025-01-01,,1.0,,,,,
AP000412,2025-01-01,,1.0,,,,,
AP000453,2025-01-01,0.75,,,,,,
AP000470,2025-01-01,0.5,1.0,,,,,
AP000485,2025-01-01,0.8333333333333334,1.0,,,,,
AP000512,2025-01-01,0.25,,,,,,
AP000514,2025-01-01,1.0,1.0,,,,,
AP000546,2025-01-01,,0.5,,,,,
AP000577,2025-01-01,,1.0,,,,,
AP000639,2025-01-01,,1.0,,,,,
AP000680,2025-01-01,0.5,0.75,,0.25,,,
AP000688,2025-01-01,,1.0,,,,,
AP000744,2025-01-01,,1.0,,,,,
AP0007932,2025-01-01,0.8333333333333334,,,,,,
AP001045,2025-01-01,1.0,,,,,,
AP001274,2025-01-01,0.25,,,,,,
AP001526,2025-01-01,,1.0,,,,,
AP001559,2025-01-01,1.0,,,,,,
AP001678,2025-01-01,1.0,0.6666666666666666,,,,,
AP001718,2025-01-01,,0.5,,,,,
AP001826,2025-01-01,,0.5,,,,,
AP001847,2025-01-01,,1.0,,,,,
AP002420,2025-01-01,,1.0,,,,,
AP002489,2025-01-01,1.0,0.25,,,,,
AP002528,2025-01-01,,1.0,,,,,
AP002585,2025-01-01,,1.0,,,,,
AP002600,2025-01-01,,1.0,,,,,
AP002739,2025-01-01,0.5,1.0,,,,,
AP002810,2025-01-01,0.5,,,,,,
AP003065,2025-01-01,,1.0,,,,,
AP003152,2025-01-01,0.5,,,,,,
AP003153,2025-01-01,,1.0,,,,,
AP003161,2025-01-01,,0.16666666666666666,,,,,
AP003165,2025-01-01,,1.0,,,,,
AP003229,2025-01-01,,0.5,,,,,
AP003245,2025-01-01,,1.0,,,,,
AP003374,2025-01-01,1.0,,,,,,
AP003605,2025-01-01,1.0,,,,,,
AP003701,2025-01-01,1.0,0.5,,,,,
AP003750,2025-01-01,0.5,,,,,,
AP004085,2025-01-01,0.3333333333333333,,,,,,
AP004099,2025-01-01,1.0,0.5,,,,,
AP004138,2025-01-01,1.0,,,,,,
AP004140,2025-01-01,1.0,,,,,,
AP004172,2025-01-01,,1.0,,,,,
AP004227,2025-01-01,0.3333333333333333,1.0,,,,,
AP004359,2025-01-01,0.25,,,,,,
AP004361,2025-01-01,1.0,1.0,,,,,
AP004362,2025-01-01,0.6666666666666666,,,,,,
AP004500,2025-01-01,1.0,,,,,,
AP004520,2025-01-01,0.25,,,,,,
AP004540,2025-01-01,0.5,1.0,,,,,
AP004575,2025-01-01,,0.6666666666666666,,,,,
AP004731,2025-01-01,0.3333333333333333,0.8,,,,,
AP004787,2025-01-01,0.2,,,,,,
AP004788,2025-01-01,,0.2,,,,,
AP004862,2025-01-01,,1.0,,,,,
AP004978,2025-01-01,,0.6666666666666666,,,,,
AP005003,2025-01-01,,1.0,,,,,
AP005043,2025-01-01,,0.6666666666666666,,,,,
AP005067,2025-01-01,1.0,0.3333333333333333,,,,,
AP005099,2025-01-01,,1.0,,,,,
AP005131,2025-01-01,0.25,1.0,,,,,
AP005133,2025-01-01,,0.6666666666666666,,,,,
AP005189,2025-01-01,1.0,1.0,,,,,
AP005232,2025-01-01,0.75,0.3333333333333333,,,,,
AP005234,2025-01-01,,0.2,,,,,
AP005256,2025-01-01,1.0,,,,,,
AP005261,2025-01-01,,1.0,,,,,
AP005275,2025-01-01,0.3333333333333333,,,,,,
AP005279,2025-01-01,1.0,1.0,,,,,
AP005440,2025-01-01,1.0,1.0,,,,,
AP005451,2025-01-01,,0.5,,,,,
AP005518,2025-01-01,1.0,,,,,,
AP005613,2025-01-01,0.3333333333333333,0.6666666666666666,,0.3333333333333333,,,
AP005649,2025-01-01,,0.5,,,,,
