client_doctor_code,campaign_start_date_(month_year),hcp_email_open_rate,hcp_whatsapp_read_rate,hcp_email_click_rate,hcp_whatsapp_click_rate,hcp_call_productive_rate,last_call_connected_date_(selected_month),average_duration_connected_calls
AP000091,2025-06-01,,1.0,,,,,
AP000127,2025-06-01,0.6,,,,,,
AP000129,2025-06-01,0.6,0.8333333333333334,,,,,
AP000130,2025-06-01,0.6,1.0,,,,,
AP000187,2025-06-01,,1.0,,,,,
AP000239,2025-06-01,,0.5,,0.25,,,
AP000412,2025-06-01,,1.0,,0.16666666666666666,,,
AP000421,2025-06-01,,0.75,,,,,
AP000453,2025-06-01,0.6,,,,,,
AP000470,2025-06-01,0.6,,,,,,
AP000514,2025-06-01,0.8,1.0,,0.16666666666666666,,,
AP000542,2025-06-01,,0.3333333333333333,,,,,
AP000577,2025-06-01,,1.0,,,,,
AP000639,2025-06-01,,1.0,,,,,
AP000680,2025-06-01,0.5,0.3333333333333333,,,,,
AP000688,2025-06-01,,1.0,,,,,
AP000744,2025-06-01,,1.0,,,,,
AP0007932,2025-06-01,0.4,0.25,,,,,
AP001045,2025-06-01,1.0,,,,,,
AP001274,2025-06-01,0.6,,,,,,
AP001443,2025-06-01,,1.0,,0.2,,,
AP001481,2025-06-01,0.6,,,,,,
AP001489,2025-06-01,0.8,0.8,,,,,
AP001544,2025-06-01,,1.0,,0.16666666666666666,,,
AP001559,2025-06-01,1.0,,,,,,
AP001678,2025-06-01,0.5,,,,,,
AP001718,2025-06-01,,1.0,,,,,
AP001739,2025-06-01,,1.0,,,,,
AP001826,2025-06-01,,0.5,,,,,
AP001847,2025-06-01,,1.0,,,,,
AP001862,2025-06-01,,1.0,,,,,
AP002226,2025-06-01,,0.8,,,,,
AP002489,2025-06-01,0.8,,,,,,
AP002528,2025-06-01,,1.0,,,,,
AP002585,2025-06-01,0.8,,,,,,
AP002600,2025-06-01,,1.0,,,,,
AP002739,2025-06-01,0.6,1.0,,,,,
AP002805,2025-06-01,0.8,0.25,,,,,
AP003065,2025-06-01,0.6,1.0,,,,,
AP003133,2025-06-01,0.8,1.0,,,,,
AP003134,2025-06-01,,0.5,,,,,
AP003153,2025-06-01,,1.0,,,,,
AP003165,2025-06-01,,1.0,,,,,
AP003229,2025-06-01,,0.6,,,,,
AP003245,2025-06-01,,1.0,,,,,
AP003605,2025-06-01,1.0,0.5,,,,,
AP003635,2025-06-01,0.8,,,,,,
AP003701,2025-06-01,0.8,1.0,,,,,
AP003954,2025-06-01,,1.0,,,,,
AP004007,2025-06-01,1.0,1.0,,,,,
AP004099,2025-06-01,0.8,,,,,,
AP004267,2025-06-01,,1.0,,,,,
AP004299,2025-06-01,0.8,,,,,,
AP004355,2025-06-01,,1.0,,,,,
AP004359,2025-06-01,0.4,,,,,,
AP004362,2025-06-01,0.8,,,,,,
AP004404,2025-06-01,0.8,,,,,,
AP004411,2025-06-01,0.6,1.0,,,,,
AP004430,2025-06-01,,0.2,,,,,
AP004520,2025-06-01,0.6,,,,,,
AP004525,2025-06-01,0.8,1.0,,,,,
AP004540,2025-06-01,0.4,1.0,,,,,
AP004575,2025-06-01,,1.0,,,,,
AP004731,2025-06-01,0.8,1.0,,,,,
AP004745,2025-06-01,0.6,1.0,,,,,
AP004746,2025-06-01,,1.0,,,,,
AP004763,2025-06-01,,1.0,,0.16666666666666666,,,
AP004787,2025-06-01,0.8,,,,,,
AP004788,2025-06-01,,1.0,,,,,
AP004791,2025-06-01,,0.16666666666666666,,,,,
AP004862,2025-06-01,,1.0,,,,,
AP004978,2025-06-01,,1.0,,,,,
AP005003,2025-06-01,,1.0,,,,,
AP005043,2025-06-01,0.8,,,,,,
AP005067,2025-06-01,0.8,0.25,,,,,
AP005099,2025-06-01,,0.75,,,,,
AP005131,2025-06-01,0.4,1.0,,,,,
AP005133,2025-06-01,0.4,0.25,,,,,
AP005147,2025-06-01,0.4,1.0,,,,,
AP005189,2025-06-01,0.8,1.0,,,,,
AP005234,2025-06-01,,1.0,,,,,
AP005261,2025-06-01,,1.0,,,,,
AP005273,2025-06-01,1.0,1.0,,,,,
AP005275,2025-06-01,0.4,,,,,,
AP005279,2025-06-01,0.8,1.0,,,,,
AP005440,2025-06-01,1.0,,,,,,
AP005451,2025-06-01,,0.8,,,,,
AP005473,2025-06-01,,0.6666666666666666,,,,,
AP005518,2025-06-01,1.0,,,,,,
AP005600,2025-06-01,0.4,1.0,,,,,
AP005613,2025-06-01,1.0,1.0,,,,,
AP005649,2025-06-01,,1.0,,,,,
AP005759,2025-06-01,0.6,,,,,,
AP005767,2025-06-01,0.6,0.75,,,,,
AP005771,2025-06-01,,0.5,,,,,
AP005809,2025-06-01,,0.2,,,,,
AP005850,2025-06-01,0.8,1.0,,,,,
AP005985,2025-06-01,1.0,,,,,,
AP005990,2025-06-01,,1.0,,,,,
AP005997,2025-06-01,,1.0,,,,,
AP006003,2025-06-01,,1.0,,,,,
AP006079,2025-06-01,,1.0,,,,,
AP006102,2025-06-01,,1.0,,,,,
AP006268,2025-06-01,0.8,1.0,,,,,
AP006309,2025-06-01,,1.0,,,,,
AP006310,2025-06-01,,1.0,,,,,
AP006314,2025-06-01,,1.0,,,,,
AP006474,2025-06-01,,0.16666666666666666,,,,,
AP006522,2025-06-01,,1.0,,,,,
AP006704,2025-06-01,,1.0,,,,,
AP006758,2025-06-01,1.0,,,,,,
AP007430,2025-06-01,0.8,,,,,,
AP007463,2025-06-01,,1.0,,,,,
AP007468,2025-06-01,,1.0,,,,,
AP007534,2025-06-01,0.6,1.0,,,,,
AP008362,2025-06-01,0.8,1.0,,,,,
AP008611,2025-06-01,,1.0,,,,,
AP009557,2025-06-01,0.6,1.0,,,,,
AP009707,2025-06-01,,0.25,,,,,
AP009901,2025-06-01,0.8,1.0,,,,,
AP010043,2025-06-01,,0.4,,,,,
AP010080,2025-06-01,,1.0,,,,,
AP010084,2025-06-01,0.6,,,,,,
AP010147,2025-06-01,,1.0,,,,,
AP010166,2025-06-01,0.6,0.6,,,,,
AP010182,2025-06-01,,1.0,,,,,
AP010208,2025-06-01,,1.0,,,,,
AP010603,2025-06-01,,1.0,,,,,
AP010606,2025-06-01,1.0,,,,,,
AP010973,2025-06-01,,1.0,,,,,
AP011013,2025-06-01,0.6,1.0,,,,,
AP011039,2025-06-01,0.8,0.8333333333333334,,0.16666666666666666,,,
AP011050,2025-06-01,,1.0,,,,,
AP011082,2025-06-01,,1.0,,,,,
AP011087,2025-06-01,0.6,,,,,,
AP011170,2025-06-01,,0.8333333333333334,,,,,
AP011237,2025-06-01,1.0,1.0,,,,,
AP011262,2025-06-01,0.2,1.0,,,,,
AP011263,2025-06-01,,1.0,,,,,
AP011264,2025-06-01,0.8,,,,,,
AP011282,2025-06-01,,1.0,,,,,
AP011293,2025-06-01,0.8,1.0,,,,,
AP011323,2025-06-01,,1.0,,0.2,,,
AP011446,2025-06-01,1.0,1.0,,,,,
AP011487,2025-06-01,,0.5,,,,,
AP011643,2025-06-01,0.4,1.0,,,,,
AP011671,2025-06-01,0.4,,,,,,
AP011783,2025-06-01,,1.0,,,,,
AP011792,2025-06-01,1.0,,,,,,
AP011813,2025-06-01,0.4,0.16666666666666666,,,,,
AP011856,2025-06-01,,1.0,,,,,
AP011876,2025-06-01,,1.0,,,,,
AP011932,2025-06-01,0.6,1.0,,,,,
AP012011,2025-06-01,0.6,1.0,,,,,
AP012025,2025-06-01,0.8,,,,,,
AP012043,2025-06-01,0.8,0.8,,,,,
AP012044,2025-06-01,0.6,,,,,,
AP012054,2025-06-01,,1.0,,,,,
AP012147,2025-06-01,,1.0,,,,,
AP012158,2025-06-01,0.4,1.0,,,,,
AP012303,2025-06-01,,1.0,,,,,
AP012319,2025-06-01,,1.0,,,,,
AP012358,2025-06-01,0.8,1.0,,,,,
AP012381,2025-06-01,,1.0,,,,,
AP012455,2025-06-01,,0.4,,,,,
AP012519,2025-06-01,0.4,,,,,,
AP012582,2025-06-01,,1.0,,,,,
AP012627,2025-06-01,0.4,0.3333333333333333,,,,,
AP012843,2025-06-01,,1.0,,,,,
AP012901,2025-06-01,0.8,,,,,,
AP012913,2025-06-01,,1.0,,,,,
AP012976,2025-06-01,,1.0,,,,,
AP012987,2025-06-01,0.5,,,,,,
AP013020,2025-06-01,,1.0,,,,,
AP013038,2025-06-01,,1.0,,,,,
AP013045,2025-06-01,,1.0,,,,,
AP013057,2025-06-01,0.8,,,,,,
AP013084,2025-06-01,1.0,,,,,,
AP013102,2025-06-01,0.8,0.8,,,,,
AP013123,2025-06-01,0.6,1.0,,0.25,,,
AP013125,2025-06-01,0.4,1.0,,,,,
AP013170,2025-06-01,0.6,,,,,,
AP013174,2025-06-01,0.6,0.2,,,,,
AP013176,2025-06-01,1.0,,,,,,
AP013194,2025-06-01,,1.0,,,,,
AP013200,2025-06-01,0.6,1.0,,,,,
AP013204,2025-06-01,0.6,,,,,,
AP013210,2025-06-01,,1.0,,,,,
AP013227,2025-06-01,0.8,1.0,,,,,
AP013304,2025-06-01,0.8,1.0,,,,,
AP013324,2025-06-01,,0.6666666666666666,,,,,
AP013350,2025-06-01,,0.25,,,,,
AP013355,2025-06-01,,1.0,,,,,
AP013358,2025-06-01,0.8,1.0,,,,,
AP013359,2025-06-01,0.6,,,,,,
AP013364,2025-06-01,,1.0,,0.16666666666666666,,,
AP013370,2025-06-01,0.6,,,,,,
AP013378,2025-06-01,0.2,1.0,,,,,
AP013435,2025-06-01,0.8,1.0,,,,,
AP013453,2025-06-01,,1.0,,,,,
AP013462,2025-06-01,,1.0,,,,,
AP013505,2025-06-01,,1.0,,,,,
AP013562,2025-06-01,0.8,1.0,,,,,
AP013570,2025-06-01,0.8,,,,,,
AP013596,2025-06-01,0.8,,,,,,
AP013689,2025-06-01,1.0,,,,,,
AP013720,2025-06-01,0.8,1.0,,,,,
AP013760,2025-06-01,0.8,1.0,,,,,
AP013867,2025-06-01,,1.0,,,,,
AP013893,2025-06-01,1.0,1.0,,,,,
AP013958,2025-06-01,,1.0,,,,,
AP014018,2025-06-01,1.0,,,,,,
AP014134,2025-06-01,,1.0,,,,,
AP014209,2025-06-01,,1.0,,,,,
AP014340,2025-06-01,,1.0,,,,,
AP014657,2025-06-01,0.8,1.0,,,,,
AP014781,2025-06-01,,0.5,,,,,
AP014827,2025-06-01,,1.0,,,,,
AP014830,2025-06-01,,1.0,,,,,
AP014857,2025-06-01,,0.25,,,,,
AP015109,2025-06-01,0.6,0.75,,,,,
AP015468,2025-06-01,,0.75,,,,,
AP015670,2025-06-01,0.6,1.0,,,,,
AP015675,2025-06-01,,1.0,,,,,
AP015684,2025-06-01,,1.0,,,,,
AP015703,2025-06-01,0.6,,,,,,
AP015725,2025-06-01,0.6,1.0,,,,,
AP015817,2025-06-01,0.8,,,,,,
AP015890,2025-06-01,,0.5,,,,,
AP015941,2025-06-01,1.0,0.5,,,,,
AP016295,2025-06-01,0.4,1.0,,,,,
AP016337,2025-06-01,0.5,1.0,,,,,
AP016384,2025-06-01,,1.0,,,,,
AP016471,2025-06-01,1.0,,,,,,
AP016526,2025-06-01,,1.0,,,,,
AP016545,2025-06-01,,1.0,,,,,
AP016974,2025-06-01,,1.0,,,,,
AP016975,2025-06-01,,1.0,,,,,
AP017168,2025-06-01,,1.0,,,,,
AP017200,2025-06-01,0.8,1.0,,0.16666666666666666,,,
AP017346,2025-06-01,0.6,1.0,,,,,
AP017537,2025-06-01,,1.0,,,,,
AP017677,2025-06-01,,0.75,,,,,
AP017706,2025-06-01,0.4,1.0,,,,,
AP017712,2025-06-01,0.6,1.0,,,,,
AP017715,2025-06-01,0.6,1.0,,,,,
AP017794,2025-06-01,,1.0,,,,,
AP017822,2025-06-01,,1.0,,,,,
AP017932,2025-06-01,0.8,1.0,,,,,
AP018006,2025-06-01,0.8,1.0,,,,,
AP018063,2025-06-01,,0.8333333333333334,,,,,
AP018127,2025-06-01,0.8,,,,,,
AP018188,2025-06-01,0.8,,,,,,
AP018221,2025-06-01,,1.0,,,,,
AP018255,2025-06-01,1.0,1.0,,,,,
AP018273,2025-06-01,0.4,1.0,,,,,
AP018345,2025-06-01,,1.0,,,,,
AP018365,2025-06-01,,1.0,,,,,
AP018387,2025-06-01,,0.6666666666666666,,,,,
AP018393,2025-06-01,0.6,1.0,,,,,
AP018403,2025-06-01,,0.75,,,,,
AP018440,2025-06-01,0.8,1.0,,,,,
AP018459,2025-06-01,0.5,0.5,,0.5,,,
AP018500,2025-06-01,0.8,1.0,,,,,
AP018502,2025-06-01,,0.2,,,,,
AP018509,2025-06-01,0.6,,,,,,
AP018518,2025-06-01,,0.25,,,,,
AP018583,2025-06-01,1.0,,,,,,
AP018609,2025-06-01,,0.6666666666666666,,,,,
AP018659,2025-06-01,0.8,,,,,,
AP018702,2025-06-01,,0.6,,,,,
AP018707,2025-06-01,0.8,1.0,,,,,
AP018713,2025-06-01,1.0,1.0,,,,,
AP018717,2025-06-01,1.0,1.0,,,,,
AP018720,2025-06-01,0.8,1.0,,,,,
AP018724,2025-06-01,0.4,1.0,,,,,
AP018734,2025-06-01,1.0,,,,,,
AP018758,2025-06-01,0.6,1.0,,,,,
AP018759,2025-06-01,0.4,1.0,,,,,
AP018772,2025-06-01,,1.0,,,,,
AP018786,2025-06-01,,1.0,,,,,
AP018841,2025-06-01,1.0,,,,,,
AP018885,2025-06-01,,1.0,,,,,
AP018904,2025-06-01,,1.0,,,,,
AP018906,2025-06-01,,1.0,,,,,
AP018936,2025-06-01,1.0,0.6666666666666666,,,,,
AP019084,2025-06-01,0.8,0.75,,,,,
AP019107,2025-06-01,1.0,,,,,,
AP019129,2025-06-01,0.6,,,,,,
AP019138,2025-06-01,,1.0,,,,,
AP019149,2025-06-01,0.6,1.0,,,,,
AP019259,2025-06-01,0.2,,,,,,
AP019262,2025-06-01,0.6,1.0,,,,,
AP019339,2025-06-01,,1.0,,,,,
AP019375,2025-06-01,0.6,1.0,,,,,
AP019385,2025-06-01,0.8,1.0,,,,,
AP019388,2025-06-01,,0.25,,,,,
AP019396,2025-06-01,0.8,1.0,,,,,
AP019403,2025-06-01,0.8,,,,,,
AP019407,2025-06-01,,1.0,,,,,
AP019448,2025-06-01,,1.0,,,,,
AP019474,2025-06-01,1.0,,0.4,,,,
AP019574,2025-06-01,1.0,1.0,,,,,
AP019580,2025-06-01,,1.0,,,,,
AP019582,2025-06-01,0.8,,,,,,
AP019590,2025-06-01,0.6,0.2,,,,,
AP019603,2025-06-01,,1.0,,0.16666666666666666,,,
AP019604,2025-06-01,1.0,1.0,,,,,
AP019623,2025-06-01,0.75,,,,,,
AP019643,2025-06-01,0.6,1.0,,,,,
AP019674,2025-06-01,0.8,1.0,,,,,
AP019694,2025-06-01,,0.5,,,,,
AP019718,2025-06-01,0.8,1.0,,,,,
AP019740,2025-06-01,,0.25,,,,,
AP019741,2025-06-01,0.6,1.0,,,,,
AP019743,2025-06-01,0.8,1.0,,,,,
AP019772,2025-06-01,,1.0,,,,,
AP019782,2025-06-01,,1.0,,,,,
AP019791,2025-06-01,0.8,,,,,,
AP019809,2025-06-01,0.6,,,,,,
AP019842,2025-06-01,0.6,,,,,,
AP019853,2025-06-01,0.2,1.0,,,,,
AP019860,2025-06-01,,1.0,,,,,
AP019868,2025-06-01,0.8,,,,,,
AP019891,2025-06-01,,1.0,,,,,
AP019932,2025-06-01,1.0,1.0,,,,,
AP019944,2025-06-01,0.6,1.0,,,,,
AP019957,2025-06-01,1.0,,,,,,
AP019965,2025-06-01,,1.0,,,,,
AP019972,2025-06-01,,0.75,,,,,
AP019988,2025-06-01,0.8,,,,,,
AP020000,2025-06-01,0.8,,,,,,
AP020017,2025-06-01,,0.25,,,,,
AP020021,2025-06-01,1.0,,,,,,
AP020098,2025-06-01,,0.8,,,,,
AP020113,2025-06-01,0.8,0.75,,,,,
AP020130,2025-06-01,0.8,1.0,,,,,
AP020152,2025-06-01,1.0,0.8,,,,,
AP020218,2025-06-01,0.8,1.0,,,,,
AP020262,2025-06-01,0.8,1.0,,,,,
AP020268,2025-06-01,,0.5,,,,,
AP020292,2025-06-01,0.4,1.0,,,,,
AP020294,2025-06-01,,1.0,,,,,
AP020304,2025-06-01,,0.75,,,,,
AP020312,2025-06-01,0.6,,,,,,
AP020314,2025-06-01,1.0,,,,,,
AP020368,2025-06-01,0.8,,,,,,
AP020469,2025-06-01,0.6,1.0,,,,,
AP020471,2025-06-01,1.0,0.25,0.2,0.25,,,
AP020483,2025-06-01,0.6,1.0,,,,,
AP020500,2025-06-01,,1.0,,,,,
AP020529,2025-06-01,0.8,1.0,,,,,
AP020532,2025-06-01,0.8,1.0,,,,,
AP020535,2025-06-01,1.0,0.5,,,,,
AP020541,2025-06-01,,1.0,,,,,
AP020603,2025-06-01,0.8,1.0,,,,,
AP020618,2025-06-01,0.5,,,,,,
AP020653,2025-06-01,,1.0,,,,,
AP020681,2025-06-01,,0.25,,,,,
AP020684,2025-06-01,,1.0,,,,,
AP020709,2025-06-01,0.5,1.0,,,,,
AP020717,2025-06-01,,1.0,,,,,
AP020738,2025-06-01,1.0,1.0,,,,,
AP020744,2025-06-01,0.6,1.0,,,,,
AP020746,2025-06-01,,1.0,,,,,
AP020848,2025-06-01,0.8,0.5,,,,,
AP020887,2025-06-01,1.0,,,,,,
AP020904,2025-06-01,0.8,0.5,,,,,
AP020908,2025-06-01,,1.0,,,,,
AP020951,2025-06-01,0.6,,,,,,
AP020963,2025-06-01,1.0,1.0,,,,,
AP021051,2025-06-01,,1.0,,,,,
AP021066,2025-06-01,0.5,,,,,,
AP021077,2025-06-01,0.8,1.0,,,,,
AP021081,2025-06-01,,1.0,,,,,
AP021206,2025-06-01,0.6,1.0,,,,,
AP021287,2025-06-01,0.6,1.0,,0.25,,,
AP021310,2025-06-01,0.8,1.0,,,,,
AP021343,2025-06-01,0.6,,,,,,
AP021354,2025-06-01,,1.0,,,,,
AP021358,2025-06-01,1.0,,,,,,
AP021366,2025-06-01,0.8,1.0,,,,,
AP021371,2025-06-01,,0.8,,,,,
AP021533,2025-06-01,,1.0,,,,,
AP021562,2025-06-01,1.0,,,,,,
AP021607,2025-06-01,,1.0,,,,,
AP021626,2025-06-01,1.0,,,,,,
AP021674,2025-06-01,0.6,1.0,,,,,
AP021709,2025-06-01,,1.0,,,,,
AP021718,2025-06-01,,1.0,,,,,
AP021753,2025-06-01,,0.8333333333333334,,,,,
AP021776,2025-06-01,,1.0,,,,,
AP021837,2025-06-01,,1.0,,,,,
AP021866,2025-06-01,0.8,,,,,,
AP021895,2025-06-01,1.0,1.0,,,,,
AP021916,2025-06-01,,0.6666666666666666,,,,,
AP021928,2025-06-01,0.6,0.8,,,,,
AP021997,2025-06-01,,1.0,,,,,
AP022016,2025-06-01,0.8,1.0,,,,,
AP022023,2025-06-01,1.0,1.0,,,,,
AP022046,2025-06-01,,1.0,,,,,
AP022062,2025-06-01,,0.8,,,,,
AP022067,2025-06-01,0.6,1.0,,,,,
AP022078,2025-06-01,0.6,,,,,,
AP022080,2025-06-01,,1.0,,,,,
AP022141,2025-06-01,0.6,,,,,,
AP022158,2025-06-01,0.6,,,,,,
AP022192,2025-06-01,,1.0,,,,,
