client_doctor_code,campaign_start_date_(month_year),hcp_email_open_rate,hcp_whatsapp_read_rate,hcp_email_click_rate,hcp_whatsapp_click_rate,hcp_call_productive_rate,last_call_connected_date_(selected_month),average_duration_connected_calls
AP000127,2025-03-01,0.42857142857142855,,,,,,
AP000129,2025-03-01,1.0,,,,,,
AP000453,2025-03-01,0.42857142857142855,0.16666666666666666,,0.16666666666666666,,,
AP000485,2025-03-01,0.7142857142857143,0.6666666666666666,,,,,
AP000512,2025-03-01,0.3333333333333333,,,,,,
AP000577,2025-03-01,1.0,0.6666666666666666,,,,,
AP000591,2025-03-01,0.7142857142857143,1.0,,,,,
AP000593,2025-03-01,0.7142857142857143,,,,,,
AP000639,2025-03-01,,1.0,,,,,
AP000680,2025-03-01,0.42857142857142855,,,,,,
AP0007932,2025-03-01,0.5714285714285714,0.42857142857142855,,,,,
AP001045,2025-03-01,0.5714285714285714,0.5,,,,,
AP001274,2025-03-01,0.8571428571428571,,,,,,
AP001443,2025-03-01,1.0,1.0,,,,,
AP001481,2025-03-01,0.42857142857142855,,,,,,
AP001559,2025-03-01,0.8571428571428571,0.7142857142857143,,0.14285714285714285,,,
AP001678,2025-03-01,0.8571428571428571,,,,,,
AP001739,2025-03-01,,0.16666666666666666,,,,,
AP001826,2025-03-01,,0.8571428571428571,,,,,
AP001862,2025-03-01,,1.0,,,,,
AP002489,2025-03-01,0.8571428571428571,,,,,,
AP002528,2025-03-01,,1.0,,,,,
AP002585,2025-03-01,1.0,,,,,,
AP002600,2025-03-01,,1.0,,,,,
AP002739,2025-03-01,0.42857142857142855,1.0,,,,,
AP002784,2025-03-01,,0.14285714285714285,,0.14285714285714285,,,
AP002810,2025-03-01,1.0,,,,,,
AP002830,2025-03-01,,0.8571428571428571,,,,,
AP003153,2025-03-01,,0.5714285714285714,,,,,
AP003165,2025-03-01,,0.2857142857142857,,,,,
AP003229,2025-03-01,,0.5714285714285714,,,,,
AP003245,2025-03-01,,1.0,,,,,
AP003605,2025-03-01,0.14285714285714285,,,,,,
AP003635,2025-03-01,1.0,,,,,,
AP003701,2025-03-01,1.0,0.14285714285714285,,,,,
AP003750,2025-03-01,0.2857142857142857,0.16666666666666666,,,,,
AP004085,2025-03-01,0.5714285714285714,,,,,,
AP004138,2025-03-01,0.42857142857142855,,,,,,
AP004227,2025-03-01,0.5714285714285714,1.0,,,,,
AP004267,2025-03-01,,0.5,,,,,
AP004299,2025-03-01,0.8571428571428571,,,,,,
AP004355,2025-03-01,,1.0,,,,,
AP004359,2025-03-01,0.42857142857142855,,,,,,
AP004500,2025-03-01,0.8571428571428571,,,,,,
AP004520,2025-03-01,0.2857142857142857,0.14285714285714285,,,,,
AP004525,2025-03-01,0.42857142857142855,1.0,,,,,
