client_doctor_code,campaign_start_date_(month_year),hcp_email_open_rate,hcp_whatsapp_read_rate,hcp_email_click_rate,hcp_whatsapp_click_rate,hcp_call_productive_rate,last_call_connected_date_(selected_month),average_duration_connected_calls
AP000127,2025-05-01,0.75,,,,,,
AP000130,2025-05-01,0.75,1.0,,,,,
AP000187,2025-05-01,,1.0,,,,,
AP000239,2025-05-01,,0.75,,,,,
AP000421,2025-05-01,,0.75,,,,,
AP000453,2025-05-01,1.0,,,,,,
AP000470,2025-05-01,0.75,,,,,,
AP000476,2025-05-01,0.5,,,,,,
AP000512,2025-05-01,,0.75,,,,,
AP000514,2025-05-01,0.75,1.0,,,,,
AP000542,2025-05-01,,0.25,,,,,
AP000577,2025-05-01,,1.0,,,,,
AP000591,2025-05-01,1.0,1.0,,,,,
AP000593,2025-05-01,0.75,,,,,,
AP000639,2025-05-01,,1.0,,,,,
AP000680,2025-05-01,0.75,1.0,,,,,
AP000688,2025-05-01,,1.0,,,,,
AP000744,2025-05-01,,1.0,,,,,
AP0007932,2025-05-01,1.0,1.0,,,,,
AP000885,2025-05-01,,0.25,,0.25,,,
AP001045,2025-05-01,0.25,1.0,,,,,
AP001154,2025-05-01,,0.75,,,,,
AP001274,2025-05-01,1.0,,,,,,
AP001341,2025-05-01,1.0,1.0,,,,,
AP001470,2025-05-01,1.0,,,,,,
AP001481,2025-05-01,1.0,,,,,,
AP001489,2025-05-01,0.75,,,,,,
AP001544,2025-05-01,,0.25,,,,,
AP001559,2025-05-01,0.5,1.0,,,,,
AP001678,2025-05-01,1.0,,,,,,
AP001718,2025-05-01,,1.0,,,,,
AP001826,2025-05-01,,0.6666666666666666,,,,,
AP001847,2025-05-01,,1.0,,,,,
AP001862,2025-05-01,,0.25,,,,,
AP002420,2025-05-01,,1.0,,,,,
AP002489,2025-05-01,0.75,,,,,,
AP002528,2025-05-01,,1.0,,,,,
AP002739,2025-05-01,0.75,1.0,,,,,
AP002805,2025-05-01,1.0,1.0,,,,,
AP002810,2025-05-01,,1.0,,,,,
AP002830,2025-05-01,0.5,1.0,,,,,
AP003065,2025-05-01,1.0,1.0,,,,,
AP003134,2025-05-01,,0.5,,,,,
AP003152,2025-05-01,1.0,,,,,,
AP003153,2025-05-01,,0.5,,,,,
AP003165,2025-05-01,,1.0,,,,,
AP003229,2025-05-01,,0.25,,,,,
AP003245,2025-05-01,,1.0,,,,,
AP003374,2025-05-01,0.3333333333333333,,,,,,
AP003605,2025-05-01,0.5,,,,,,
AP003635,2025-05-01,0.75,,,,,,
AP003701,2025-05-01,1.0,1.0,,,,,
AP003750,2025-05-01,0.75,,,,,,
AP003954,2025-05-01,,1.0,,,,,
AP004007,2025-05-01,1.0,0.25,,,,,
AP004085,2025-05-01,0.75,,,,,,
AP004099,2025-05-01,0.75,0.5,,,,,
AP004138,2025-05-01,0.75,,,,,,
AP004140,2025-05-01,1.0,0.5,,,,,
AP004227,2025-05-01,0.75,1.0,,,,,
AP004267,2025-05-01,,0.5,,,,,
AP004355,2025-05-01,,1.0,,,,,
AP004359,2025-05-01,0.75,,,,,,
AP004361,2025-05-01,1.0,0.75,,,,,
AP004362,2025-05-01,1.0,,,,,,
AP004404,2025-05-01,0.75,,,,,,
AP004411,2025-05-01,0.75,1.0,,,,,
AP004430,2025-05-01,,0.75,,,,,
AP004500,2025-05-01,1.0,,,,,,
AP004520,2025-05-01,0.5,1.0,,,,,
AP004763,2025-05-01,,1.0,,,,,
AP004787,2025-05-01,0.75,,,,,,
AP004788,2025-05-01,,1.0,,,,,
AP004791,2025-05-01,,0.75,,,,,
AP004794,2025-05-01,,1.0,,,,,
AP004862,2025-05-01,,1.0,,,,,
AP004978,2025-05-01,,0.5,,,,,
AP005003,2025-05-01,,1.0,,,,,
AP005043,2025-05-01,1.0,0.75,,,,,
AP005067,2025-05-01,0.5,,,,,,
AP005099,2025-05-01,,0.25,,,,,
AP005102,2025-05-01,0.75,0.75,,,,,
AP005131,2025-05-01,0.25,1.0,,,,,
AP005133,2025-05-01,1.0,0.5,,,,,
AP005147,2025-05-01,0.75,1.0,,,,,
AP005189,2025-05-01,1.0,1.0,,,,,
AP005232,2025-05-01,0.75,,,,,,
AP005234,2025-05-01,,0.75,,,,,
AP005255,2025-05-01,,1.0,,,,,
AP005256,2025-05-01,1.0,,,,,,
AP005261,2025-05-01,,1.0,,,,,
AP005275,2025-05-01,0.75,,,,,,
AP005279,2025-05-01,1.0,1.0,,0.25,,,
AP005410,2025-05-01,,0.75,,,,,
AP005440,2025-05-01,0.75,,,,,,
AP005451,2025-05-01,,0.5,,,,,
AP005466,2025-05-01,,0.75,,,,,
AP005518,2025-05-01,1.0,,,,,,
AP005649,2025-05-01,,1.0,,,,,
AP005767,2025-05-01,0.75,0.25,,,,,
AP005770,2025-05-01,,1.0,,,,,
AP005771,2025-05-01,,1.0,,,,,
AP005846,2025-05-01,,1.0,,,,,
AP005850,2025-05-01,1.0,1.0,,,,,
AP005985,2025-05-01,0.75,0.75,,0.25,,,
AP005990,2025-05-01,,1.0,,,,,
AP005997,2025-05-01,,1.0,,,,,
AP006003,2025-05-01,,1.0,,,,,
AP006079,2025-05-01,,1.0,,,,,
AP006102,2025-05-01,,1.0,,,,,
AP006268,2025-05-01,0.75,1.0,,,,,
AP006310,2025-05-01,,1.0,,,,,
AP006314,2025-05-01,,1.0,,,,,
AP006474,2025-05-01,,0.25,,,,,
AP006522,2025-05-01,,1.0,,,,,
AP006704,2025-05-01,,1.0,,,,,
AP006758,2025-05-01,0.75,1.0,,,,,
AP007430,2025-05-01,1.0,,,,,,
AP007463,2025-05-01,,1.0,,,,,
AP007468,2025-05-01,1.0,1.0,,,,,
AP007534,2025-05-01,0.75,0.5,,,,,
AP008362,2025-05-01,1.0,1.0,,,,,
AP008611,2025-05-01,,1.0,,,,,
AP009557,2025-05-01,1.0,1.0,,,,,
AP010043,2025-05-01,,0.5,,,,,
AP010080,2025-05-01,,1.0,,,,,
AP010084,2025-05-01,0.75,,,,,,
AP010147,2025-05-01,,1.0,,,,,
AP010166,2025-05-01,0.75,1.0,,,,,
AP010173,2025-05-01,,0.25,,,,,
AP010182,2025-05-01,,1.0,,,,,
AP010208,2025-05-01,,1.0,,,,,
