uin,trial_role,trial_id,trial_public_title,trial_scientific_title_,trial_phase,trial_status,trial_type,trial_start_date,trial_end_date,trial_countries,trial_sponsors,trial_intervention_name,trial_indication,trial_co_investigators,trial_description,trial_link,trial_processed_date_timestamp,trial_inserted_date_timestamp,trial_updated_timestamp,trial_delete_flag_timestamp
AP000349,,,,,,,,,,,,,,,,,,,,
AP000409,,,,,,,,,,,,,,,,,,,,
AP000422,,,,,,,,,,,,,,,,,,,,
AP000470,,,,,,,,,,,,,,,,,,,,
AP000573,,,,,,,,,,,,,,,,,,,,
AP000591,,,,,,,,,,,,,,,,,,,,
AP000593,,,,,,,,,,,,,,,,,,,,
AP000790,,,,,,,,,,,,,,,,,,,,
AP000848,,,,,,,,,,,,,,,,,,,,
AP000873,,,,,,,,,,,,,,,,,,,,
AP000893,,,,,,,,,,,,,,,,,,,,
AP000905,,,,,,,,,,,,,,,,,,,,
AP000919,,,,,,,,,,,,,,,,,,,,
AP001070,,,,,,,,,,,,,,,,,,,,
AP001363,,,,,,,,,,,,,,,,,,,,
AP001544,,,,,,,,,,,,,,,,,,,,
AP001573,,,,,,,,,,,,,,,,,,,,
AP001673,,,,,,,,,,,,,,,,,,,,
AP001678,,,,,,,,,,,,,,,,,,,,
AP001718,,,,,,,,,,,,,,,,,,,,
AP002489,,,,,,,,,,,,,,,,,,,,
AP002797,,,,,,,,,,,,,,,,,,,,
AP002805,,,,,,,,,,,,,,,,,,,,
AP003540,,,,,,,,,,,,,,,,,,,,
AP003605,,,,,,,,,,,,,,,,,,,,
AP003709,,,,,,,,,,,,,,,,,,,,
AP003874,,,,,,,,,,,,,,,,,,,,
AP004016,,,,,,,,,,,,,,,,,,,,
AP004085,,,,,,,,,,,,,,,,,,,,
AP004172,,,,,,,,,,,,,,,,,,,,
AP004237,,,,,,,,,,,,,,,,,,,,
AP004299,,,,,,,,,,,,,,,,,,,,
AP004359,,,,,,,,,,,,,,,,,,,,
AP004363,,,,,,,,,,,,,,,,,,,,
AP004445,,,,,,,,,,,,,,,,,,,,
AP004464,,,,,,,,,,,,,,,,,,,,
AP004525,,,,,,,,,,,,,,,,,,,,
AP004655,,,,,,,,,,,,,,,,,,,,
AP004731,,,,,,,,,,,,,,,,,,,,
AP004787,,,,,,,,,,,,,,,,,,,,
AP004862,,,,,,,,,,,,,,,,,,,,
AP004877,,,,,,,,,,,,,,,,,,,,
AP004895,,,,,,,,,,,,,,,,,,,,
AP004920,,,,,,,,,,,,,,,,,,,,
